Zone,Subscriber_Class,Outbound,Inbound
1,Home Worker,34,34
1,Inbound Commuter,3,2
1,Long Term Visitor,21,17
1,Outbound Commuter,1,1
1,Resident Worker,34,38
1,Short Term Visitor,16,18
2,Home Worker,53,48
2,Inbound Commuter,21,16
2,Long Term Visitor,41,27
2,Outbound Commuter,12,17
2,Resident Worker,104,103
2,Short Term Visitor,23,25
3,Home Worker,40,38
3,Inbound Commuter,24,21
3,Long Term Visitor,62,42
3,Outbound Commuter,7,9
3,Resident Worker,106,104
3,Short Term Visitor,46,52
4,Home Worker,2,1
4,Long Term Visitor,9,1
4,Resident Worker,9,10
4,Short Term Visitor,4,2
5,Home Worker,17,19
5,Inbound Commuter,3,2
5,Long Term Visitor,2,2
5,Outbound Commuter,2,3
5,Resident Worker,22,22
5,Short Term Visitor,7,7
6,Home Worker,3,2
6,Long Term Visitor,2,2
6,Resident Worker,6,5
6,Short Term Visitor,2,2
7,Home Worker,8,10
7,Inbound Commuter,1,2
7,Long Term Visitor,2,1
7,Outbound Commuter,1,2
7,Resident Worker,11,15
7,Short Term Visitor,3,3
8,Home Worker,18,19
8,Inbound Commuter,4,4
8,Long Term Visitor,10,17
8,Outbound Commuter,1,2
8,Resident Worker,31,34
8,Short Term Visitor,13,17
9,Home Worker,5,4
9,Long Term Visitor,2,1
9,Resident Worker,6,9
9,Short Term Visitor,1,1
11,Home Worker,9,8
11,Inbound Commuter,6,6
11,Long Term Visitor,2,5
11,Outbound Commuter,2,1
11,Resident Worker,5,6
12,Home Worker,36,32
12,Inbound Commuter,4,3
12,Long Term Visitor,18,14
12,Outbound Commuter,7,6
12,Resident Worker,53,59
12,Short Term Visitor,7,7
13,Home Worker,67,64
13,Inbound Commuter,5,5
13,Long Term Visitor,19,24
13,Outbound Commuter,8,7
13,Resident Worker,85,89
13,Short Term Visitor,5,9
14,Home Worker,3,2
14,Long Term Visitor,2,4
14,Resident Worker,8,6
15,Home Worker,12,12
15,Inbound Commuter,2,2
15,Long Term Visitor,3,2
15,Resident Worker,4,9
16,Inbound Commuter,3,3
16,Resident Worker,1,1
16,Short Term Visitor,2,2
17,Home Worker,85,92
17,Inbound Commuter,28,28
17,Long Term Visitor,36,33
17,Outbound Commuter,9,8
17,Resident Worker,137,146
17,Short Term Visitor,48,57
18,Home Worker,36,31
18,Inbound Commuter,6,5
18,Long Term Visitor,3,3
18,Outbound Commuter,1,1
18,Resident Worker,43,45
18,Short Term Visitor,4,5
19,Home Worker,20,18
19,Inbound Commuter,3,2
19,Long Term Visitor,4,6
19,Outbound Commuter,6,7
19,Resident Worker,48,45
19,Short Term Visitor,2,6
20,Home Worker,12,11
20,Long Term Visitor,3,4
20,Resident Worker,23,20
20,Short Term Visitor,7,5
21,Home Worker,15,16
21,Inbound Commuter,3,4
21,Long Term Visitor,2,5
21,Resident Worker,19,21
21,Short Term Visitor,10,10
22,Home Worker,13,9
22,Inbound Commuter,2,1
22,Long Term Visitor,2,2
22,Resident Worker,18,21
22,Short Term Visitor,5,2
23,Home Worker,6,5
23,Inbound Commuter,1,2
23,Long Term Visitor,3,4
23,Resident Worker,11,16
23,Short Term Visitor,1,2
24,Home Worker,13,16
24,Long Term Visitor,2,3
24,Outbound Commuter,1,2
24,Resident Worker,18,20
25,Home Worker,29,29
25,Inbound Commuter,4,5
25,Long Term Visitor,89,66
25,Outbound Commuter,6,4
25,Resident Worker,42,45
25,Short Term Visitor,20,19
26,Home Worker,18,20
26,Inbound Commuter,5,3
26,Long Term Visitor,35,13
26,Outbound Commuter,6,2
26,Resident Worker,22,22
26,Short Term Visitor,7,2
27,Home Worker,42,41
27,Inbound Commuter,9,6
27,Long Term Visitor,21,32
27,Outbound Commuter,13,13
27,Resident Worker,100,105
27,Short Term Visitor,16,18
28,Home Worker,8,7
28,Inbound Commuter,1,1
28,Long Term Visitor,1,3
28,Resident Worker,6,8
28,Short Term Visitor,2,3
29,Home Worker,1,1
29,Inbound Commuter,2,1
29,Long Term Visitor,3,3
29,Resident Worker,4,4
29,Short Term Visitor,1,2
30,Home Worker,60,60
30,Inbound Commuter,4,2
30,Long Term Visitor,19,23
30,Outbound Commuter,5,4
30,Resident Worker,80,83
30,Short Term Visitor,5,7
31,Home Worker,23,23
31,Inbound Commuter,1,3
31,Long Term Visitor,9,6
31,Outbound Commuter,6,5
31,Resident Worker,49,57
31,Short Term Visitor,2,1
32,Home Worker,10,11
32,Long Term Visitor,2,1
32,Outbound Commuter,5,2
32,Resident Worker,24,22
32,Short Term Visitor,6,6
33,Home Worker,42,38
33,Inbound Commuter,4,5
33,Long Term Visitor,11,9
33,Resident Worker,49,50
33,Short Term Visitor,6,5
34,Home Worker,14,15
34,Inbound Commuter,4,3
34,Long Term Visitor,2,4
34,Outbound Commuter,3,3
34,Resident Worker,25,23
34,Short Term Visitor,5,4
35,Home Worker,22,18
35,Inbound Commuter,4,4
35,Long Term Visitor,2,4
35,Outbound Commuter,1,1
35,Resident Worker,19,17
35,Short Term Visitor,1,2
36,Home Worker,44,54
36,Long Term Visitor,5,4
36,Outbound Commuter,5,6
36,Resident Worker,48,54
36,Short Term Visitor,1,2
37,Home Worker,54,47
37,Inbound Commuter,8,10
37,Long Term Visitor,20,14
37,Outbound Commuter,9,8
37,Resident Worker,124,110
37,Short Term Visitor,9,9
38,Home Worker,61,56
38,Inbound Commuter,17,16
38,Long Term Visitor,47,45
38,Outbound Commuter,10,11
38,Resident Worker,112,126
38,Short Term Visitor,17,16
39,Home Worker,30,33
39,Inbound Commuter,23,17
39,Long Term Visitor,23,10
39,Outbound Commuter,1,3
39,Resident Worker,111,97
39,Short Term Visitor,19,14
40,Home Worker,27,29
