origin_zone,total,Hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
1,138,0,0,0,0,0,4,11,15,13,10,14,7,9,4,8,8,10,6,8,6,4,1,0,0
2,260,0,0,0,0,2,3,13,17,26,19,17,16,22,20,16,20,16,10,15,13,6,8,0,1
3,346,0,0,0,0,2,6,10,10,19,23,20,18,23,28,27,26,30,30,23,20,15,9,5,2
4,24,0,0,0,0,0,1,1,3,3,1,1,3,0,2,1,2,2,1,0,0,2,1,0,0
5,48,0,0,0,0,1,1,4,7,5,4,2,4,1,1,4,2,1,4,2,2,1,0,1,1
6,22,0,0,0,0,0,1,1,2,2,3,2,1,1,1,2,0,1,3,0,1,0,1,0,0
7,47,0,0,0,0,0,1,2,4,7,4,2,3,6,1,2,1,3,5,1,2,2,1,0,0
8,93,0,0,0,0,1,1,1,3,3,6,3,8,5,8,10,9,8,10,5,3,3,3,3,0
9,22,0,0,0,0,0,1,1,0,1,3,1,1,1,1,1,2,4,1,0,1,1,1,1,0
10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,40,0,0,0,0,0,2,2,2,2,0,3,1,2,3,3,3,5,6,3,0,2,0,1,0
12,161,0,0,0,0,3,10,17,11,16,8,8,11,5,8,8,12,11,7,5,4,6,3,5,3
13,222,0,0,0,0,1,11,11,22,18,18,10,16,19,9,7,16,16,13,17,4,8,4,1,1
14,22,0,0,0,0,0,1,2,1,1,0,0,1,1,2,0,3,5,1,1,3,0,0,0,0
15,11,0,0,0,0,0,1,0,1,1,1,0,0,1,2,0,1,0,2,0,1,0,0,0,0
16,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0
17,331,0,0,0,0,1,3,5,12,8,17,12,19,24,22,25,27,21,30,32,26,23,19,3,2
18,119,0,0,0,0,1,1,10,5,8,7,6,5,7,10,11,9,11,7,7,7,3,2,1,1
19,93,0,0,0,0,0,2,6,7,7,3,5,8,3,5,3,6,11,6,7,5,5,3,1,0
20,54,0,0,0,0,2,0,1,2,3,1,5,6,2,7,3,5,1,6,2,0,4,2,1,1
21,55,0,0,0,0,0,1,0,1,4,5,1,6,5,2,5,8,4,1,3,4,3,0,2,0
22,28,0,0,0,0,1,0,1,0,2,0,1,1,1,1,3,2,6,1,3,2,2,0,0,1
23,35,0,0,0,0,0,0,1,0,2,3,3,3,1,5,3,2,1,4,4,1,0,0,2,0
24,57,0,0,0,0,1,0,6,5,3,7,3,4,4,2,3,1,3,5,6,0,1,2,1,0
25,149,0,0,0,0,1,8,9,10,13,11,3,6,12,9,9,8,9,8,11,8,6,5,3,0
26,82,0,0,0,0,0,2,5,4,6,3,4,5,7,1,8,6,7,8,5,3,3,4,1,0
27,208,0,0,0,0,2,6,10,10,14,14,12,11,10,9,12,14,16,25,12,12,4,7,7,1
28,11,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,1,0,4,0,0,0,0,0,0
29,11,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,2,2,1,0,0,0,0
30,201,0,0,0,0,1,5,10,10,21,13,12,12,15,15,10,14,15,11,16,10,7,2,2,0
31,140,0,0,0,0,0,3,15,9,17,8,6,5,4,8,6,17,12,15,5,4,1,2,3,0
32,76,0,0,0,0,1,1,2,5,3,5,8,3,5,0,9,6,7,10,2,2,1,3,3,0
33,109,0,0,0,0,0,2,3,9,7,6,7,6,6,8,15,9,9,11,5,2,0,3,1,0
34,66,0,0,0,0,0,0,2,4,1,6,8,3,3,3,6,4,7,4,4,3,6,1,0,1
35,59,0,0,0,0,0,0,0,3,6,4,4,3,4,4,4,4,8,4,2,4,1,4,0,0
36,123,0,0,0,0,0,6,10,16,10,12,6,7,4,5,6,3,11,9,7,3,7,0,1,0
37,259,0,0,0,0,1,6,11,18,16,16,10,25,14,21,16,21,29,26,9,8,8,2,2,0
38,408,0,0,0,0,1,2,8,12,17,21,25,22,23,21,27,36,35,65,34,20,19,13,7,0
39,246,0,0,0,0,2,3,9,9,12,12,12,13,16,12,21,16,24,37,19,8,9,7,4,1
40,194,0,0,0,0,0,4,3,12,13,12,9,15,22,17,6,12,15,15,21,12,5,1,0,0
41,138,0,0,0,0,2,3,9,16,11,6,10,11,5,9,12,6,6,7,6,6,4,6,3,0
42,73,0,0,0,0,0,4,6,7,5,3,6,3,2,4,4,2,7,6,5,6,0,3,0,0
43,85,0,0,0,0,1,1,4,8,4,6,2,7,4,6,7,8,7,12,1,2,3,2,0,0
44,54,0,0,0,0,1,2,0,3,1,1,2,3,3,7,15,2,4,5,2,2,0,1,0,0
45,92,0,0,0,0,0,0,2,2,4,2,4,6,4,9,15,5,7,11,3,2,8,5,2,1
46,28,0,0,0,0,0,0,1,1,2,1,3,0,2,1,3,2,3,0,4,2,3,0,0,0
47,90,0,0,0,0,2,1,4,8,4,1,2,3,13,8,12,4,7,4,8,4,3,1,1,0
48,172,0,0,0,0,2,6,8,10,6,5,8,9,1,6,13,11,32,13,12,7,10,9,4,0
49,336,0,0,0,0,0,3,2,10,5,12,17,26,30,29,24,25,42,48,22,16,10,9,4,2
50,107,0,0,0,0,0,4,9,3,7,3,7,6,10,9,6,9,4,9,6,5,5,4,1,0
51,46,0,0,0,0,0,0,2,0,2,5,3,2,1,2,1,10,5,2,4,3,2,2,0,0
52,49,0,0,0,0,0,2,4,8,3,1,3,2,3,1,2,4,3,4,1,4,1,1,2,0
53,183,0,0,0,0,1,9,15,24,8,12,7,11,5,7,9,11,11,15,13,3,5,13,2,2
54,184,0,0,0,0,0,4,7,16,6,11,15,14,13,9,14,11,13,14,13,6,7,8,2,1
55,143,0,0,0,0,1,5,12,9,12,7,8,11,9,6,4,9,9,15,12,8,4,1,0,1
56,17,0,0,0,0,0,1,0,2,3,2,1,3,0,0,2,1,2,0,0,0,0,0,0,0
57,12,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,1,1,1,0,2,2,0,0
58,22,0,0,0,0,0,0,1,2,3,2,1,1,2,0,2,0,2,4,0,1,0,0,0,1
59,107,0,0,0,0,0,2,13,7,5,14,6,7,6,5,4,11,7,6,5,2,3,3,1,0
60,116,0,0,0,0,0,3,9,8,10,9,10,6,5,5,7,5,5,10,9,9,2,2,2,0
61,38,0,0,0,0,0,0,1,1,3,1,2,5,8,4,2,1,1,6,2,1,0,0,0,0
62,46,0,0,0,0,0,0,0,3,3,2,2,2,3,4,3,4,3,4,5,2,2,3,1,0
63,189,0,0,0,0,0,2,6,9,14,8,11,16,17,11,13,7,14,23,10,12,7,3,5,1
64,384,0,0,0,0,2,2,11,17,16,18,18,21,31,30,33,23,31,25,31,19,27,22,6,1
65,161,0,0,0,0,0,5,4,8,14,9,5,14,11,8,23,11,6,7,12,7,8,7,2,0
66,46,0,0,0,0,0,4,3,5,2,2,6,4,3,0,2,2,2,2,3,2,1,1,2,0
67,273,0,0,0,0,1,4,8,5,9,12,18,16,19,26,23,28,31,19,17,14,12,7,4,0
68,135,0,0,0,0,1,1,6,8,6,9,8,8,11,10,9,13,16,8,5,6,4,5,1,0
69,70,0,0,0,0,1,6,5,12,1,5,6,5,5,3,2,6,1,1,2,1,4,1,2,1
70,125,0,0,0,0,2,1,12,6,10,10,9,7,5,5,10,11,9,11,6,5,4,1,1,0
71,145,0,0,0,0,0,1,4,8,11,13,5,4,9,9,9,4,13,16,14,7,8,4,4,2
72,93,0,0,0,0,0,6,6,9,13,3,8,2,4,4,3,7,4,8,7,2,1,1,4,1
73,154,0,0,0,0,1,1,6,9,12,9,9,8,11,11,20,6,6,17,7,3,11,6,1,0
74,65,0,0,0,0,1,3,3,9,4,5,1,3,5,1,1,9,6,8,2,1,1,2,0,0
75,255,0,0,0,0,0,3,6,11,17,14,15,19,32,15,15,15,16,26,8,13,13,13,4,0
76,75,0,0,0,0,0,3,2,2,5,5,2,7,4,7,2,11,7,4,5,1,3,4,1,0
77,114,0,0,0,0,1,2,8,13,7,10,5,7,3,7,8,9,7,6,6,6,3,5,1,0
78,93,0,0,0,0,1,2,9,9,11,7,5,6,4,8,1,3,5,6,4,2,5,3,2,0
79,29,0,0,0,0,0,1,1,2,1,2,2,3,1,3,1,2,3,2,1,3,1,0,0,0
80,31,0,0,0,0,0,1,1,2,5,4,0,4,1,2,2,3,5,0,0,1,0,0,0,0
81,109,0,0,0,0,1,0,8,16,10,6,8,9,4,5,7,7,5,5,10,3,2,1,2,0
82,128,0,0,0,0,2,5,10,15,16,7,8,6,6,6,6,4,9,6,8,5,3,2,3,1
83,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,91,0,0,0,0,0,7,3,6,6,10,5,6,5,3,6,3,6,11,3,4,3,1,3,0
85,40,0,0,0,0,0,2,3,2,1,2,4,2,4,1,4,2,3,3,3,0,2,1,1,0
86,309,0,0,0,0,1,16,22,25,33,21,25,18,9,17,12,15,17,25,12,21,6,10,2,2
87,191,0,0,0,0,0,1,5,10,13,10,9,8,14,13,15,11,18,18,14,11,8,8,4,1
88,227,0,0,0,0,0,2,14,22,23,11,12,13,17,23,12,12,13,14,14,12,7,4,2,0
89,258,0,0,0,0,0,2,15,7,26,12,14,12,19,19,13,21,10,27,13,10,15,20,3,0
90,163,0,0,0,0,0,2,9,16,12,14,9,8,11,16,7,13,8,11,11,7,7,2,0,0
91,98,0,0,0,0,0,4,7,7,8,7,6,7,4,3,8,10,6,6,7,4,1,3,0,0
92,50,0,0,0,0,0,1,1,4,2,4,3,3,4,2,5,5,3,5,3,4,0,1,0,0
93,137,0,0,0,0,0,3,5,16,13,10,5,11,2,7,5,9,10,16,10,5,4,4,2,0
94,36,0,0,0,0,0,0,0,2,1,3,1,4,2,2,5,3,5,3,2,3,0,0,0,0
95,129,0,0,0,0,0,3,4,8,11,9,7,9,10,10,3,4,8,14,9,8,3,7,1,1
96,103,0,0,0,0,0,2,6,8,9,6,6,3,7,7,2,6,12,7,7,6,2,4,3,0
97,69,0,0,0,0,0,1,3,5,10,1,8,6,4,4,2,7,6,4,2,0,4,2,0,0
