origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
1,167,18,4,28,17,2,17,71,7,3
2,288,35,12,45,38,11,22,113,0,12
3,387,16,27,27,64,25,18,174,10,26
4,21,1,0,2,4,1,4,9,0,0
5,57,3,4,10,7,2,15,13,1,2
6,25,2,3,2,3,0,2,10,2,1
7,27,5,0,4,3,1,3,7,1,3
8,119,6,9,3,29,5,8,47,3,9
9,29,3,3,2,2,1,4,6,6,2
10,1,0,0,0,0,0,0,1,0,0
11,33,4,1,8,3,1,1,12,1,2
12,157,23,4,35,12,5,25,51,1,1
13,239,36,3,53,15,10,32,85,1,4
14,27,3,0,7,4,1,3,7,1,1
15,11,3,0,0,0,0,2,5,0,1
16,15,0,0,1,5,0,1,8,0,0
17,455,10,33,24,127,33,13,194,3,18
18,125,11,11,24,13,7,17,32,1,9
19,92,10,8,4,13,3,17,24,6,7
20,66,6,2,5,16,1,4,26,2,4
21,75,2,5,4,13,8,6,33,1,3
22,40,2,1,1,12,2,2,16,1,3
23,43,4,6,4,6,1,11,9,1,1
24,85,9,1,16,11,0,14,26,0,8
25,273,18,8,24,15,4,27,169,2,6
26,78,10,6,8,11,1,5,35,0,2
27,257,25,26,37,43,7,18,83,3,15
28,27,0,2,2,8,0,1,12,1,1
29,10,0,2,0,1,0,0,6,0,1
30,213,32,7,47,20,19,26,54,1,7
31,120,20,9,22,8,5,13,29,4,10
32,79,9,6,13,6,3,7,20,3,12
33,136,4,6,9,28,4,22,52,1,10
34,71,6,6,16,11,1,6,21,0,4
35,69,4,2,11,17,2,7,20,0,6
36,168,27,1,40,13,6,32,43,3,3
37,231,28,20,43,25,8,27,57,5,18
38,387,32,58,40,48,12,32,117,6,42
39,251,9,52,11,32,4,14,82,5,42
40,212,15,28,28,26,10,16,61,3,25
41,151,19,11,23,9,5,38,34,7,5
42,68,9,6,6,3,5,10,22,3,4
43,118,19,17,14,8,4,15,35,1,5
44,55,3,15,7,4,1,6,7,1,11
45,103,3,14,7,15,3,8,35,4,14
46,22,2,2,3,4,2,4,3,2,0
47,91,5,16,10,10,4,7,27,3,9
48,385,10,13,14,40,4,13,272,9,10
49,386,13,72,18,76,13,11,127,5,51
50,103,9,9,20,10,3,8,37,1,6
51,31,5,1,1,5,0,5,12,1,1
52,35,6,0,2,5,0,10,12,0,0
53,211,16,16,42,27,5,35,56,7,7
54,200,22,6,30,37,7,24,64,1,9
55,132,15,13,21,12,6,17,33,3,12
56,39,0,2,1,5,1,5,12,8,5
57,21,3,1,2,1,1,6,6,0,1
58,27,1,0,3,2,3,4,14,0,0
59,99,18,3,24,12,0,22,14,1,5
60,124,19,5,24,8,0,19,47,2,0
61,47,3,2,9,8,0,4,17,1,3
62,49,2,8,3,7,3,3,18,0,5
63,217,18,28,12,26,7,22,75,3,26
64,424,20,30,33,90,17,32,162,7,33
65,162,13,21,22,17,5,17,46,3,18
66,31,4,0,4,5,2,5,11,0,0
67,196,11,19,20,30,8,22,61,3,22
68,144,14,10,13,29,6,17,39,2,14
69,62,10,3,13,4,2,16,11,3,0
70,150,23,5,29,10,3,24,49,3,4
71,154,14,37,16,9,6,6,44,4,18
72,115,17,10,24,7,4,14,28,5,6
73,159,14,16,32,10,6,27,34,4,16
74,63,9,6,15,5,2,11,10,3,2
75,193,25,14,42,19,7,16,52,7,11
76,67,2,12,4,6,3,5,26,3,6
77,111,21,2,27,8,4,10,37,0,2
78,113,18,4,27,12,1,24,20,2,5
79,26,4,2,5,2,3,1,5,1,3
80,61,5,6,6,5,5,3,27,1,3
81,139,16,7,29,20,8,12,30,4,13
82,151,21,7,18,11,4,28,53,3,6
83,1,0,0,0,1,0,0,0,0,0
84,103,13,3,20,11,3,22,24,3,4
85,54,8,0,5,3,2,12,22,1,1
86,315,57,6,61,20,15,53,89,5,9
87,216,11,23,35,42,4,27,59,5,10
88,245,37,15,52,40,5,26,57,1,12
89,269,24,25,42,49,6,20,86,1,16
90,147,11,8,25,12,6,9,71,0,5
91,108,11,9,23,9,2,19,26,0,9
92,57,8,2,10,10,2,4,18,0,3
93,140,18,12,27,17,4,17,29,2,14
94,39,1,8,2,6,1,4,7,2,8
95,130,15,14,22,22,2,15,32,4,4
96,104,15,6,21,10,3,14,28,1,6
97,66,9,1,22,7,2,10,13,1,1
98,29,1,6,2,0,1,6,9,0,4
99,146,10,25,17,22,5,18,29,4,16
