origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total1,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
1,141,0,0,1,0,2,6,4,11,14,17,13,10,15,6,9,4,6,4,4,6,3,3,2,1,1,144,0,1,0,0,0,1,1,4,8,12,11,7,6,6,10,13,11,11,11,12,10,4,3,1
2,292,1,0,1,0,0,4,16,19,22,18,18,26,24,19,19,25,14,18,17,12,7,7,4,1,2,306,0,1,0,0,1,0,10,9,16,28,14,14,18,20,16,23,21,33,25,22,12,11,6,5
3,320,2,0,1,0,1,5,15,19,18,16,24,23,26,17,17,26,30,23,22,15,11,3,5,1,3,323,0,1,0,1,0,3,8,17,30,32,34,21,15,15,17,22,25,21,15,16,11,9,4,5
4,27,0,0,0,0,0,0,3,5,5,3,2,0,2,0,0,1,2,2,0,1,1,0,0,0,4,29,0,0,0,0,0,0,1,1,5,3,7,0,3,0,1,2,1,1,2,0,2,0,0,0
5,53,1,0,0,0,1,1,7,4,4,5,1,2,4,0,4,3,4,3,2,2,3,1,1,0,5,52,0,0,0,0,0,1,0,4,4,1,5,0,6,4,1,4,4,1,4,5,1,1,3,3
6,21,0,0,0,0,0,0,1,4,1,1,0,1,0,3,0,1,4,2,0,0,1,2,0,0,6,20,0,0,0,0,0,0,0,0,2,3,1,1,1,3,2,0,1,1,2,1,0,2,0,0
7,32,0,0,0,0,0,0,2,2,3,6,1,1,2,0,2,2,1,5,0,1,3,1,0,0,7,31,0,0,0,0,0,1,1,1,1,1,4,2,2,1,1,2,2,2,2,4,2,2,0,0
8,87,0,2,0,0,0,0,0,1,3,8,8,5,11,7,10,9,9,5,4,2,1,2,0,0,8,91,0,0,0,0,0,0,5,1,4,7,12,6,5,11,9,5,6,8,3,3,6,0,0,0
9,11,0,0,0,0,0,0,1,1,0,0,0,1,1,0,3,1,1,1,0,0,1,0,0,0,9,17,0,0,0,0,0,0,0,1,2,1,0,1,1,1,0,3,2,2,0,1,1,1,0,0
10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,47,1,0,0,0,0,2,3,1,7,5,5,5,4,3,1,3,2,3,1,0,0,1,0,0,11,42,0,0,0,0,0,0,0,2,3,5,4,4,3,2,1,5,4,4,1,2,1,1,0,0
12,131,0,1,0,0,0,5,12,15,8,7,15,5,11,9,3,7,8,4,3,4,3,6,4,1,12,135,0,0,0,0,1,1,2,8,3,8,2,8,12,8,7,6,8,11,12,10,10,10,4,1
13,203,1,0,1,0,0,3,15,23,17,16,9,12,10,12,8,11,15,13,13,11,7,4,1,1,13,223,0,1,0,0,0,0,4,2,7,12,7,8,16,15,17,21,16,22,22,19,10,11,4,7
14,30,0,0,0,0,0,2,0,1,1,2,1,1,2,4,3,1,4,4,0,0,1,3,0,0,14,28,0,0,0,0,0,0,1,5,6,2,1,1,1,2,1,2,2,1,0,1,0,1,1,0
15,16,0,0,0,0,0,2,0,2,2,1,0,0,1,0,1,0,0,2,2,0,1,1,1,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,2,0,0,0,1
16,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,4,0,0,0,1,0,16,15,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,4,1,1,0,0,2,1
17,320,1,1,0,0,1,2,5,11,8,9,9,18,23,24,24,28,27,26,28,21,35,16,3,0,17,345,0,0,0,0,0,0,5,11,18,25,28,26,29,25,28,25,20,30,30,18,14,6,3,4
18,111,2,0,0,0,1,5,7,6,3,6,6,6,8,10,5,12,8,8,9,5,2,0,2,0,18,114,0,1,0,0,0,3,2,6,11,11,5,8,10,6,6,5,7,7,7,4,5,3,2,5
19,99,1,0,1,1,0,3,6,4,2,6,4,6,10,4,3,12,15,6,5,4,2,1,1,2,19,103,0,4,0,0,0,1,3,6,9,11,9,7,8,9,5,5,5,6,5,1,3,5,0,1
20,44,0,1,0,0,0,1,3,3,1,2,2,2,5,3,4,5,4,4,0,2,0,2,0,0,20,43,0,0,0,0,0,1,4,1,3,4,1,6,1,2,1,2,3,3,2,3,1,1,1,3
21,50,0,0,0,0,0,4,0,4,5,1,3,2,4,4,5,5,2,6,2,0,1,2,0,0,21,40,0,0,0,0,0,0,1,3,2,2,2,3,3,1,6,1,3,3,1,5,1,1,2,0
22,30,0,0,1,0,0,0,0,2,1,0,3,3,3,5,2,4,2,3,0,0,0,1,0,0,22,28,0,1,0,0,0,0,1,1,1,2,1,2,1,5,2,3,1,4,0,1,1,0,1,0
23,41,0,0,0,0,0,2,1,0,4,4,1,1,2,3,4,5,2,4,2,5,1,0,0,0,23,38,0,0,0,0,0,0,0,1,1,4,4,2,1,1,6,3,1,2,5,1,3,2,1,0
24,71,0,0,0,0,0,0,5,6,6,4,2,4,4,3,2,9,3,6,6,1,7,0,2,1,24,70,0,0,0,0,0,0,1,3,7,3,5,3,3,4,5,4,9,4,4,5,4,4,1,1
25,222,0,0,0,0,0,6,13,15,7,9,13,13,19,23,16,16,15,14,5,10,8,9,7,4,25,286,0,0,0,2,0,0,4,19,16,17,16,33,29,26,22,23,25,10,13,5,6,7,8,3
26,89,0,0,0,0,0,2,3,1,5,3,3,5,9,13,14,7,6,3,4,2,3,2,4,0,26,65,0,1,0,0,0,0,3,3,1,6,2,5,5,3,7,3,3,3,7,2,3,2,5,1
27,206,1,0,0,0,1,3,7,16,14,15,4,11,14,7,14,18,16,20,18,11,6,4,4,2,27,231,0,1,0,0,0,1,1,7,19,25,19,6,16,16,16,16,15,26,15,14,7,5,3,3
28,15,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,3,1,3,2,0,0,0,0,28,18,0,0,0,0,0,0,0,0,2,1,1,3,1,3,1,0,2,2,0,0,1,0,1,0
29,19,1,0,0,0,0,2,0,0,2,1,0,1,1,3,1,1,1,0,3,1,0,1,0,0,29,17,0,0,0,0,0,1,0,1,1,2,1,0,3,0,0,1,1,3,2,0,0,0,0,1
30,198,0,1,0,0,0,8,16,14,24,17,13,9,7,14,11,13,13,8,12,5,6,1,5,1,30,209,0,2,1,1,0,0,7,3,11,6,8,10,8,17,14,21,18,17,27,16,12,5,3,2
31,99,0,0,0,0,1,4,5,12,10,6,4,6,7,5,4,8,6,7,5,4,4,1,0,0,31,102,0,0,0,0,0,0,0,5,6,6,8,2,7,3,4,7,12,8,11,4,5,8,4,2
32,78,0,0,0,0,0,3,6,6,5,4,7,0,1,7,7,5,9,9,3,2,3,1,0,0,32,76,0,0,0,1,0,1,5,7,6,4,5,9,4,4,6,3,3,1,3,5,2,4,1,2
33,97,1,0,0,0,0,4,3,4,6,9,7,3,3,3,11,10,15,5,4,3,1,3,2,0,33,96,0,1,0,0,0,0,0,7,9,13,7,4,3,7,4,6,9,9,4,2,5,4,0,2
34,58,0,0,0,0,0,0,2,6,5,4,5,4,5,4,4,4,2,4,2,1,2,4,0,0,34,52,0,0,0,1,0,1,0,2,5,3,2,3,6,2,4,5,4,2,4,4,1,2,1,0
35,61,2,0,1,0,1,1,4,3,2,3,4,3,4,4,4,2,4,5,6,3,3,1,1,0,35,61,0,0,0,0,0,1,1,0,4,3,4,2,3,8,2,3,6,8,2,4,5,4,0,1
36,138,1,0,0,0,0,3,16,10,14,14,8,7,6,6,7,8,7,7,8,6,5,3,2,0,36,151,0,3,0,0,0,0,1,3,6,6,6,5,7,4,9,13,17,16,17,12,9,8,7,2
37,243,0,0,0,0,1,4,19,14,25,13,19,20,12,13,14,16,29,13,10,9,8,2,2,0,37,236,0,0,0,0,0,0,1,10,20,14,8,7,19,16,13,22,20,13,16,26,13,9,5,3
38,318,0,0,0,0,1,5,13,12,18,17,12,13,14,17,18,19,33,32,39,13,15,18,8,1,38,346,0,0,0,0,1,2,4,22,23,34,18,19,23,28,17,19,15,25,39,20,14,7,12,4
39,205,0,0,0,0,0,3,6,5,3,11,10,15,13,15,8,13,22,27,26,13,7,6,2,0,39,202,0,0,0,0,0,0,2,23,24,22,22,13,15,15,6,9,7,14,16,7,4,1,1,1
40,167,0,0,1,0,1,4,6,10,15,8,12,12,13,7,9,12,16,16,8,6,5,4,2,0,40,156,0,0,1,0,0,1,9,6,13,12,7,11,6,9,9,10,15,9,14,12,6,4,1,1
41,149,1,0,0,0,1,6,17,16,7,7,10,12,8,7,6,5,8,7,11,4,6,5,4,1,41,145,0,1,0,0,0,1,3,8,7,10,7,8,7,12,5,11,9,10,13,10,9,5,5,4
42,59,0,0,0,0,0,1,4,4,2,4,2,6,1,4,4,9,2,3,3,3,2,3,1,1,42,68,0,0,0,0,0,0,3,8,3,3,0,5,3,1,2,4,5,5,8,7,4,4,1,1
43,79,0,0,0,0,2,1,1,5,6,4,4,6,5,10,6,6,8,7,2,5,1,0,0,0,43,82,0,0,0,0,0,0,1,4,8,11,5,3,6,5,8,4,2,4,6,7,0,3,0,4
44,60,0,0,0,0,1,2,1,3,2,5,1,1,2,5,11,4,7,7,3,1,3,1,0,0,44,53,0,0,0,0,0,2,3,9,3,5,5,2,2,4,3,3,2,0,4,2,0,2,0,2
45,97,0,0,0,0,0,0,0,4,5,3,5,4,7,4,11,12,9,13,2,4,8,4,2,0,45,95,0,0,0,0,0,0,7,11,6,4,9,9,4,4,5,5,5,6,8,4,4,3,0,1
