Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
38,38,4001,4001,1,Tue,Long Term Visitor,OO,12928.65,8,9
39,39,4001,4001,1,Tue,Long Term Visitor,OO,13116.3,13,14
81,81,4001,4001,1,Tue,Short Term Visitor,HO,19203.14,7,8
82,82,4001,4001,1,Tue,Short Term Visitor,OO,16796.49,8,9
83,83,4001,4001,1,Tue,Short Term Visitor,OO,30224.43,11,12
84,84,4001,4001,1,Tue,Short Term Visitor,OW,2812.9,13,14
85,85,4001,4001,1,Tue,Short Term Visitor,WH,14897.39,16,17
103,103,4001,4001,1,Tue,Short Term Visitor,HW,7041.29,5,6
104,104,4001,4001,1,Tue,Short Term Visitor,HH,16408.16,18,19
105,105,4001,4001,1,Tue,Short Term Visitor,HH,11123.28,20,21
106,106,4001,4001,1,Tue,Short Term Visitor,HH,5730.0,22,23
125,125,4001,4001,1,Tue,Long Term Visitor,OO,7695.46,7,8
181,181,4001,4001,1,Tue,Long Term Visitor,OO,16447.63,9,10
231,231,4001,4001,1,Tue,Short Term Visitor,HO,20578.61,8,9
232,232,4001,4001,1,Tue,Short Term Visitor,OH,10619.69,13,14
233,233,4001,4001,1,Tue,Short Term Visitor,HO,10186.51,13,14
234,234,4001,4001,1,Tue,Short Term Visitor,HO,10007.79,15,16
235,235,4001,4001,1,Tue,Short Term Visitor,OH,16592.48,17,18
257,257,4001,4001,1,Tue,Short Term Visitor,OO,22181.31,16,17
292,292,4001,4001,1,Tue,Resident Worker,HH,147.68,10,11
296,296,4001,4001,1,Tue,Short Term Visitor,HW,29483.31,7,8
299,299,4001,4001,1,Tue,Short Term Visitor,OO,7286.49,6,7
316,316,4001,4001,1,Tue,Short Term Visitor,HH,18402.79,7,8
317,317,4001,4001,1,Tue,Short Term Visitor,HH,14212.22,14,15
348,348,4001,4001,1,Tue,Short Term Visitor,HO,11470.35,11,12
349,349,4001,4001,1,Tue,Short Term Visitor,OO,27917.71,13,14
350,350,4001,4001,1,Tue,Short Term Visitor,OH,15270.86,15,16
408,408,4001,4001,1,Tue,Short Term Visitor,HH,7524.09,5,6
409,409,4001,4001,1,Tue,Short Term Visitor,HH,16468.75,16,17
416,416,4001,4001,1,Tue,Long Term Visitor,OO,15104.01,12,13
419,419,4001,4001,1,Tue,Short Term Visitor,OO,24795.17,10,11
443,443,4001,4001,1,Tue,Short Term Visitor,OO,11741.33,20,21
462,462,4001,4001,1,Tue,Short Term Visitor,HH,18522.26,8,9
463,463,4001,4001,1,Tue,Short Term Visitor,HH,14513.11,11,12
464,464,4001,4001,1,Tue,Short Term Visitor,HH,16335.08,17,18
478,478,4001,4001,1,Tue,Short Term Visitor,OW,3136.95,10,11
499,499,4001,4001,1,Tue,Short Term Visitor,HO,12111.43,12,13
500,500,4001,4001,1,Tue,Short Term Visitor,OO,18433.8,18,19
501,501,4001,4001,1,Tue,Short Term Visitor,OH,15233.66,20,21
513,513,4001,4001,1,Tue,Inbound Commuter,OH,287.57,18,19
522,522,4001,4001,1,Tue,Short Term Visitor,OW,4211.25,9,10
523,523,4001,4001,1,Tue,Short Term Visitor,WO,10936.49,17,18
524,524,4001,4001,1,Tue,Short Term Visitor,OH,15329.06,18,19
539,539,4001,4001,1,Tue,Short Term Visitor,HH,11587.28,13,14
547,547,4001,4001,1,Tue,Short Term Visitor,OO,29362.26,12,13
