Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
10,4001,4001,12,Sat,Inbound Commuter,OO,92.29,0,1
18,4001,4001,12,Sat,Short Term Visitor,HH,1504.38,0,1
43,4001,4001,12,Sat,Short Term Visitor,OH,4758.19,0,1
48,4001,4001,12,Sat,Short Term Visitor,WH,491.82,1,2
50,4001,4001,12,Sat,Short Term Visitor,OH,3950.96,1,2
54,4001,4001,12,Sat,Short Term Visitor,WH,336.27,4,5
103,4001,4001,12,Sat,Short Term Visitor,OO,1107.22,0,1
119,4001,4001,12,Sat,Short Term Visitor,HO,595.45,0,1
123,4001,4001,12,Sat,Long Term Visitor,OO,555.43,0,1
127,4001,4001,12,Sat,Short Term Visitor,WH,1609.8,0,1
159,4001,4001,12,Sat,Short Term Visitor,OH,1565.85,2,3
177,4001,4001,12,Sat,Home Worker,HH,11.63,0,1
245,4001,4001,12,Sat,Inbound Commuter,OH,227.38,0,1
329,4001,4001,12,Sat,Inbound Commuter,HW,23.63,0,1
330,4001,4001,12,Sat,Inbound Commuter,WH,100.22,0,1
487,4001,4001,12,Sat,Short Term Visitor,OH,747.64,4,5
594,4001,4001,12,Sat,Short Term Visitor,OH,671.58,3,4
814,4001,4001,12,Sat,Short Term Visitor,HW,227.33,0,1
931,4001,4001,12,Sat,Short Term Visitor,WH,283.38,2,3
1099,4001,4001,12,Sat,Short Term Visitor,WO,79.47,0,1
1420,4001,4001,12,Sat,Long Term Visitor,HH,26.51,0,1
1432,4001,4001,12,Sat,Outbound Commuter,OO,32.23,0,1
1646,4001,4001,12,Sat,Outbound Commuter,HH,44.07,0,1
1876,4001,4001,12,Sat,Short Term Visitor,OW,72.67,0,1
2039,4001,4001,12,Sat,Short Term Visitor,WH,60.5,3,4
2247,4001,4001,12,Sat,Home Worker,OH,68.98,0,1
2534,4001,4001,12,Sat,Outbound Commuter,HW,35.58,0,1
2581,4001,4001,12,Sat,Long Term Visitor,OH,45.26,1,2
2906,4001,4001,12,Sat,Inbound Commuter,OH,124.6,1,2
3117,4001,4001,12,Sat,Inbound Commuter,OH,36.77,3,4
3141,4001,4001,12,Sat,Inbound Commuter,HO,64.09,0,1
3600,4001,4001,12,Sat,Short Term Visitor,HO,13269.52,7,8
