Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
3,3,4002,4002,1,Tue,Short Term Visitor,WW,330.87,18,19
49,49,4002,4002,1,Tue,Short Term Visitor,HH,6078.87,10,11
193,193,4002,4002,1,Tue,Short Term Visitor,HW,1873.46,10,11
194,194,4002,4002,1,Tue,Short Term Visitor,WW,2132.75,11,12
195,195,4002,4002,1,Tue,Short Term Visitor,WW,1471.72,14,15
196,196,4002,4002,1,Tue,Short Term Visitor,WW,1322.59,15,16
197,197,4002,4002,1,Tue,Short Term Visitor,WO,2353.42,16,17
198,198,4002,4002,1,Tue,Short Term Visitor,OO,3724.91,19,20
266,266,4002,4002,1,Tue,Short Term Visitor,HH,4303.95,19,20
306,306,4002,4002,1,Tue,Long Term Visitor,HH,381.49,17,18
330,330,4002,4002,1,Tue,Short Term Visitor,HH,6413.82,7,8
381,381,4002,4002,1,Tue,Short Term Visitor,HW,2543.63,9,10
382,382,4002,4002,1,Tue,Short Term Visitor,WO,1000.68,11,12
383,383,4002,4002,1,Tue,Short Term Visitor,OW,821.01,13,14
384,384,4002,4002,1,Tue,Short Term Visitor,WH,2025.25,14,15
498,498,4002,4002,1,Tue,Long Term Visitor,OO,6602.29,13,14
537,537,4002,4002,1,Tue,Long Term Visitor,OO,5533.17,14,15
538,538,4002,4002,1,Tue,Long Term Visitor,OO,5371.6,15,16
552,552,4002,4002,1,Tue,Long Term Visitor,OO,8469.94,10,11
630,630,4002,4002,1,Tue,Short Term Visitor,HH,5419.51,6,7
631,631,4002,4002,1,Tue,Short Term Visitor,HO,2162.15,16,17
632,632,4002,4002,1,Tue,Short Term Visitor,OH,3309.54,18,19
633,633,4002,4002,1,Tue,Short Term Visitor,HH,3607.32,21,22
634,634,4002,4002,1,Tue,Short Term Visitor,HH,1978.61,22,23
657,657,4002,4002,1,Tue,Short Term Visitor,HO,4225.47,7,8
658,658,4002,4002,1,Tue,Short Term Visitor,OO,6171.22,12,13
659,659,4002,4002,1,Tue,Short Term Visitor,OH,3111.88,13,14
660,660,4002,4002,1,Tue,Short Term Visitor,HH,5091.65,15,16
661,661,4002,4002,1,Tue,Short Term Visitor,HO,2382.43,17,18
757,757,4002,4002,1,Tue,Long Term Visitor,OO,6793.25,12,13
767,767,4002,4002,1,Tue,Short Term Visitor,OO,5615.78,13,14
815,815,4002,4002,1,Tue,Short Term Visitor,OO,4103.5,18,19
969,969,4002,4002,1,Tue,Short Term Visitor,HO,4084.76,6,7
970,970,4002,4002,1,Tue,Short Term Visitor,HH,4249.25,17,18
971,971,4002,4002,1,Tue,Short Term Visitor,HH,4950.68,18,19
1068,1068,4002,4002,1,Tue,Short Term Visitor,HH,5965.1,8,9
1069,1069,4002,4002,1,Tue,Short Term Visitor,HH,4635.37,12,13
1070,1070,4002,4002,1,Tue,Short Term Visitor,HH,5779.97,13,14
1071,1071,4002,4002,1,Tue,Short Term Visitor,HO,2956.29,14,15
1072,1072,4002,4002,1,Tue,Short Term Visitor,OH,3437.05,19,20
1096,1096,4002,4002,1,Tue,Short Term Visitor,HO,2534.56,12,13
1285,1285,4002,4002,1,Tue,Short Term Visitor,WW,1606.92,12,13
1286,1286,4002,4002,1,Tue,Short Term Visitor,WO,1671.99,18,19
1301,1301,4002,4002,1,Tue,Short Term Visitor,HH,1303.99,4,5
1302,1302,4002,4002,1,Tue,Short Term Visitor,HW,5368.21,6,7
1303,1303,4002,4002,1,Tue,Short Term Visitor,WW,1025.12,9,10
1304,1304,4002,4002,1,Tue,Short Term Visitor,WW,1822.61,13,14
1305,1305,4002,4002,1,Tue,Short Term Visitor,WW,439.46,17,18
1306,1306,4002,4002,1,Tue,Short Term Visitor,WH,3422.1,17,18
1309,1309,4002,4002,1,Tue,Short Term Visitor,HH,4844.33,11,12
1333,1333,4002,4002,1,Tue,Long Term Visitor,OO,7979.86,9,10
1498,1498,4002,4002,1,Tue,Short Term Visitor,HO,3083.02,10,11
1499,1499,4002,4002,1,Tue,Short Term Visitor,HO,1537.65,18,19
1500,1500,4002,4002,1,Tue,Short Term Visitor,OH,3801.57,20,21
1606,1606,4002,4002,1,Tue,Short Term Visitor,OO,6722.77,14,15
1607,1607,4002,4002,1,Tue,Short Term Visitor,OH,4218.37,16,17
1828,1828,4002,4002,1,Tue,Short Term Visitor,HO,4787.79,8,9
1829,1829,4002,4002,1,Tue,Short Term Visitor,OH,4181.89,15,16
1830,1830,4002,4002,1,Tue,Short Term Visitor,HH,4063.62,20,21
1853,1853,4002,4002,1,Tue,Short Term Visitor,HO,2205.58,13,14
1854,1854,4002,4002,1,Tue,Short Term Visitor,OO,5438.65,16,17
1885,1885,4002,4002,1,Tue,Long Term Visitor,OO,5474.83,17,18
1907,1907,4002,4002,1,Tue,Short Term Visitor,OH,1555.42,10,11
1939,1939,4002,4002,1,Tue,Short Term Visitor,OO,5322.54,17,18
1940,1940,4002,4002,1,Tue,Short Term Visitor,OW,291.89,17,18
1941,1941,4002,4002,1,Tue,Short Term Visitor,WW,428.67,20,21
1942,1942,4002,4002,1,Tue,Short Term Visitor,WH,1276.25,21,22
2014,2014,4002,4002,1,Tue,Short Term Visitor,HH,5912.51,9,10
2015,2015,4002,4002,1,Tue,Short Term Visitor,OH,1644.73,22,23
2018,2018,4002,4002,1,Tue,Short Term Visitor,WO,649.44,10,11
2019,2019,4002,4002,1,Tue,Short Term Visitor,OH,3725.53,17,18
2037,2037,4002,4002,1,Tue,Short Term Visitor,HH,5745.38,16,17
2038,2038,4002,4002,1,Tue,Short Term Visitor,HH,644.69,23,24
2076,2076,4002,4002,1,Tue,Short Term Visitor,WH,864.51,11,12
2161,2161,4002,4002,1,Tue,Short Term Visitor,HW,2135.56,5,6
2162,2162,4002,4002,1,Tue,Short Term Visitor,WH,2950.77,15,16
2287,2287,4002,4002,1,Tue,Long Term Visitor,OO,5487.6,8,9
2469,2469,4002,4002,1,Tue,Outbound Commuter,OO,185.78,16,17
2547,2547,4002,4002,1,Tue,Long Term Visitor,OO,6868.32,11,12
2598,2598,4002,4002,1,Tue,Short Term Visitor,HW,6165.57,7,8
2599,2599,4002,4002,1,Tue,Short Term Visitor,WW,672.77,8,9
2614,2614,4002,4002,1,Tue,Resident Worker,OO,233.24,13,14
2681,2681,4002,4002,1,Tue,Short Term Visitor,OO,6103.53,11,12
2747,2747,4002,4002,1,Tue,Short Term Visitor,HW,3257.59,8,9
2748,2748,4002,4002,1,Tue,Short Term Visitor,WH,1033.53,19,20
2752,2752,4002,4002,1,Tue,Short Term Visitor,OW,1283.81,8,9
2753,2753,4002,4002,1,Tue,Short Term Visitor,WH,1551.62,12,13
2844,2844,4002,4002,1,Tue,Long Term Visitor,OO,4598.29,18,19
2845,2845,4002,4002,1,Tue,Long Term Visitor,OO,2661.53,20,21
2858,2858,4002,4002,1,Tue,Short Term Visitor,HO,3922.23,11,12
2859,2859,4002,4002,1,Tue,Short Term Visitor,OH,3585.25,14,15
2860,2860,4002,4002,1,Tue,Short Term Visitor,HO,2440.54,15,16
2861,2861,4002,4002,1,Tue,Short Term Visitor,OH,2571.29,21,22
2961,2961,4002,4002,1,Tue,Short Term Visitor,WO,1585.99,15,16
3078,3078,4002,4002,1,Tue,Long Term Visitor,OO,3834.23,19,20
3299,3299,4002,4002,1,Tue,Short Term Visitor,OO,6448.7,15,16
3496,3496,4002,4002,1,Tue,Home Worker,HH,143.52,9,10
3497,3497,4002,4002,1,Tue,Home Worker,HH,209.11,12,13
3580,3580,4002,4002,1,Tue,Short Term Visitor,OW,284.46,18,19
3679,3679,4002,4002,1,Tue,Short Term Visitor,HO,926.47,19,20
3689,3689,4002,4002,1,Tue,Short Term Visitor,OH,2469.75,12,13
3690,3690,4002,4002,1,Tue,Short Term Visitor,HH,4781.12,14,15
3699,3699,4002,4002,1,Tue,Short Term Visitor,OH,802.56,8,9
3708,3708,4002,4002,1,Tue,Short Term Visitor,HW,1236.87,11,12
3767,3767,4002,4002,1,Tue,Short Term Visitor,OO,6592.98,10,11
3768,3768,4002,4002,1,Tue,Short Term Visitor,OO,2005.21,21,22
4006,4006,4002,4002,1,Tue,Short Term Visitor,OO,3214.87,7,8
4007,4007,4002,4002,1,Tue,Short Term Visitor,OO,4881.27,9,10
4047,4047,4002,4002,1,Tue,Inbound Commuter,HO,174.4,5,6
4048,4048,4002,4002,1,Tue,Inbound Commuter,OH,106.17,9,10
4049,4049,4002,4002,1,Tue,Inbound Commuter,OH,165.21,19,20
4288,4288,4002,4002,1,Tue,Long Term Visitor,OO,4800.82,16,17
4316,4316,4002,4002,1,Tue,Long Term Visitor,OO,3006.91,7,8
4461,4461,4002,4002,1,Tue,Short Term Visitor,HW,123.84,4,5
4462,4462,4002,4002,1,Tue,Short Term Visitor,WH,60.17,5,6
4483,4483,4002,4002,1,Tue,Short Term Visitor,OW,1512.18,9,10
4484,4484,4002,4002,1,Tue,Short Term Visitor,WO,1371.9,12,13
4485,4485,4002,4002,1,Tue,Short Term Visitor,OW,114.18,21,22
5051,5051,4002,4002,1,Tue,Outbound Commuter,OO,213.85,11,12
5052,5052,4002,4002,1,Tue,Outbound Commuter,OO,109.3,15,16
5116,5116,4002,4002,1,Tue,Long Term Visitor,OO,1723.62,6,7
5126,5126,4002,4002,1,Tue,Short Term Visitor,HW,388.26,16,17
5323,5323,4002,4002,1,Tue,Short Term Visitor,OW,990.57,12,13
5372,5372,4002,4002,1,Tue,Short Term Visitor,HH,2942.65,5,6
5399,5399,4002,4002,1,Tue,Short Term Visitor,WH,1535.99,13,14
5736,5736,4002,4002,1,Tue,Short Term Visitor,HO,3295.97,9,10
5737,5737,4002,4002,1,Tue,Short Term Visitor,OW,797.44,14,15
5810,5810,4002,4002,1,Tue,Short Term Visitor,WH,1149.2,20,21
5968,5968,4002,4002,1,Tue,Short Term Visitor,WH,3172.61,16,17
6245,6245,4002,4002,1,Tue,Outbound Commuter,WW,138.4,11,12
6555,6555,4002,4002,1,Tue,Short Term Visitor,HW,626.47,14,15
6605,6605,4002,4002,1,Tue,Long Term Visitor,OH,142.44,6,7
6622,6622,4002,4002,1,Tue,Inbound Commuter,OH,20.63,7,8
6623,6623,4002,4002,1,Tue,Inbound Commuter,HH,61.89,9,10
7418,7418,4002,4002,1,Tue,Short Term Visitor,WH,515.71,22,23
7423,7423,4002,4002,1,Tue,Short Term Visitor,OO,863.69,22,23
7435,7435,4002,4002,1,Tue,Outbound Commuter,HH,68.42,6,7
7436,7436,4002,4002,1,Tue,Outbound Commuter,HO,68.42,7,8
7437,7437,4002,4002,1,Tue,Outbound Commuter,OH,68.42,17,18
7558,7558,4002,4002,1,Tue,Inbound Commuter,OO,126.09,17,18
7560,7560,4002,4002,1,Tue,Short Term Visitor,OO,2776.66,20,21
7990,7990,4002,4002,1,Tue,Short Term Visitor,WO,1769.5,17,18
8165,8165,4002,4002,1,Tue,Short Term Visitor,OW,896.58,11,12
8465,8465,4002,4002,1,Tue,Long Term Visitor,OO,327.29,23,24
8756,8756,4002,4002,1,Tue,Short Term Visitor,WO,1026.78,13,14
8837,8837,4002,4002,1,Tue,Inbound Commuter,HH,185.62,7,8
9229,9229,4002,4002,1,Tue,Short Term Visitor,WO,1757.58,14,15
9440,9440,4002,4002,1,Tue,Short Term Visitor,WO,440.05,20,21
9445,9445,4002,4002,1,Tue,Home Worker,OO,194.71,15,16
9789,9789,4002,4002,1,Tue,Long Term Visitor,HW,34.69,11,12
9790,9790,4002,4002,1,Tue,Long Term Visitor,WH,34.69,13,14
9861,9861,4002,4002,1,Tue,Short Term Visitor,OW,1200.86,10,11
9953,9953,4002,4002,1,Tue,Short Term Visitor,HW,916.1,12,13
10013,10013,4002,4002,1,Tue,Short Term Visitor,OW,1114.43,7,8
10035,10035,4002,4002,1,Tue,Short Term Visitor,WW,1607.35,10,11
10214,10214,4002,4002,1,Tue,Short Term Visitor,HW,512.03,15,16
10215,10215,4002,4002,1,Tue,Short Term Visitor,WH,1515.6,18,19
10259,10259,4002,4002,1,Tue,Inbound Commuter,WO,89.31,16,17
10497,10497,4002,4002,1,Tue,Long Term Visitor,OO,1117.58,22,23
10660,10660,4002,4002,1,Tue,Home Worker,HH,215.0,10,11
10690,10690,4002,4002,1,Tue,Short Term Visitor,OW,160.75,5,6
11017,11017,4002,4002,1,Tue,Short Term Visitor,OO,2297.44,6,7
