Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
5,4002,4002,24,Thu,Short Term Visitor,HH,661.28,0,1
36,4002,4002,24,Thu,Short Term Visitor,OO,143.21,0,1
62,4002,4002,24,Thu,Short Term Visitor,WH,20.97,4,5
224,4002,4002,24,Thu,Short Term Visitor,OH,467.01,0,1
252,4002,4002,24,Thu,Short Term Visitor,WH,323.14,0,1
258,4002,4002,24,Thu,Short Term Visitor,OH,238.85,1,2
325,4002,4002,24,Thu,Short Term Visitor,HO,84.46,0,1
492,4002,4002,24,Thu,Short Term Visitor,OH,152.41,3,4
660,4002,4002,24,Thu,Outbound Commuter,HH,51.18,0,1
751,4002,4002,24,Thu,Long Term Visitor,OO,247.56,0,1
860,4002,4002,24,Thu,Short Term Visitor,WH,175.49,1,2
1210,4002,4002,24,Thu,Short Term Visitor,OH,237.46,4,5
1301,4002,4002,24,Thu,Short Term Visitor,OH,65.58,2,3
1419,4002,4002,24,Thu,Short Term Visitor,WH,69.44,3,4
1447,4002,4002,24,Thu,Long Term Visitor,OH,22.93,2,3
1903,4002,4002,24,Thu,Short Term Visitor,HW,35.49,0,1
2109,4002,4002,24,Thu,Long Term Visitor,OO,2912.87,7,8
2110,4002,4002,24,Thu,Long Term Visitor,OO,6587.83,12,13
2366,4002,4002,24,Thu,Short Term Visitor,HH,5860.98,10,11
2393,4002,4002,24,Thu,Short Term Visitor,HH,4871.14,15,16
2414,4002,4002,24,Thu,Long Term Visitor,OO,5404.79,15,16
2447,4002,4002,24,Thu,Short Term Visitor,OW,1693.71,8,9
2558,4002,4002,24,Thu,Long Term Visitor,OO,3818.09,16,17
2598,4002,4002,24,Thu,Long Term Visitor,OO,3805.97,18,19
2608,4002,4002,24,Thu,Short Term Visitor,HO,3200.13,6,7
2660,4002,4002,24,Thu,Short Term Visitor,HH,4273.7,13,14
2688,4002,4002,24,Thu,Short Term Visitor,HO,5120.64,7,8
2689,4002,4002,24,Thu,Short Term Visitor,OH,1144.0,9,10
2690,4002,4002,24,Thu,Short Term Visitor,HH,4215.4,12,13
2691,4002,4002,24,Thu,Short Term Visitor,HH,4214.55,14,15
2692,4002,4002,24,Thu,Short Term Visitor,HH,5327.63,16,17
2693,4002,4002,24,Thu,Short Term Visitor,HH,5946.96,17,18
2694,4002,4002,24,Thu,Short Term Visitor,HO,1923.65,18,19
2695,4002,4002,24,Thu,Short Term Visitor,OH,3202.19,18,19
2696,4002,4002,24,Thu,Short Term Visitor,HH,3809.51,19,20
2697,4002,4002,24,Thu,Short Term Visitor,HO,680.62,20,21
2698,4002,4002,24,Thu,Short Term Visitor,OH,176.73,23,24
2699,4002,4002,24,Thu,Short Term Visitor,HO,228.14,23,24
2718,4002,4002,24,Thu,Short Term Visitor,HW,3374.99,8,9
2719,4002,4002,24,Thu,Short Term Visitor,WH,2901.81,17,18
2748,4002,4002,24,Thu,Short Term Visitor,HO,3976.84,8,9
2749,4002,4002,24,Thu,Short Term Visitor,OH,3116.2,14,15
2752,4002,4002,24,Thu,Short Term Visitor,HW,5889.12,6,7
2753,4002,4002,24,Thu,Short Term Visitor,WH,1072.28,11,12
2802,4002,4002,24,Thu,Short Term Visitor,HH,4411.79,11,12
2862,4002,4002,24,Thu,Short Term Visitor,OO,3165.71,7,8
2863,4002,4002,24,Thu,Short Term Visitor,OO,6166.72,11,12
2864,4002,4002,24,Thu,Short Term Visitor,OO,5590.33,12,13
2865,4002,4002,24,Thu,Short Term Visitor,OO,2876.64,20,21
2928,4002,4002,24,Thu,Short Term Visitor,HO,3134.18,9,10
2929,4002,4002,24,Thu,Short Term Visitor,OO,4902.87,13,14
2930,4002,4002,24,Thu,Short Term Visitor,OH,3298.5,16,17
3028,4002,4002,24,Thu,Short Term Visitor,HO,1789.52,17,18
3029,4002,4002,24,Thu,Short Term Visitor,OH,3068.65,21,22
3087,4002,4002,24,Thu,Short Term Visitor,OH,2884.21,17,18
3099,4002,4002,24,Thu,Long Term Visitor,OO,7122.95,9,10
3117,4002,4002,24,Thu,Long Term Visitor,OO,4709.13,17,18
3218,4002,4002,24,Thu,Short Term Visitor,HO,2381.26,13,14
3546,4002,4002,24,Thu,Short Term Visitor,HH,5095.45,7,8
3594,4002,4002,24,Thu,Long Term Visitor,OO,6825.6,10,11
3613,4002,4002,24,Thu,Short Term Visitor,OH,1664.06,10,11
3614,4002,4002,24,Thu,Short Term Visitor,HO,571.66,22,23
3953,4002,4002,24,Thu,Short Term Visitor,OO,4823.51,10,11
3954,4002,4002,24,Thu,Short Term Visitor,OH,1773.72,11,12
4051,4002,4002,24,Thu,Short Term Visitor,OO,4110.29,17,18
4145,4002,4002,24,Thu,Short Term Visitor,HW,2219.76,5,6
4146,4002,4002,24,Thu,Short Term Visitor,WW,569.11,18,19
4182,4002,4002,24,Thu,Short Term Visitor,OW,1255.1,9,10
4183,4002,4002,24,Thu,Short Term Visitor,WW,1420.31,9,10
4184,4002,4002,24,Thu,Short Term Visitor,WW,2237.37,12,13
4210,4002,4002,24,Thu,Short Term Visitor,HO,3101.7,10,11
4272,4002,4002,24,Thu,Inbound Commuter,HH,155.75,16,17
4273,4002,4002,24,Thu,Short Term Visitor,WO,978.09,13,14
4355,4002,4002,24,Thu,Short Term Visitor,HH,2754.64,20,21
4420,4002,4002,24,Thu,Inbound Commuter,HH,51.32,21,22
4485,4002,4002,24,Thu,Short Term Visitor,OO,2014.4,6,7
4535,4002,4002,24,Thu,Short Term Visitor,WW,1681.48,10,11
4594,4002,4002,24,Thu,Short Term Visitor,HW,988.02,11,12
4595,4002,4002,24,Thu,Short Term Visitor,WO,1989.56,17,18
4596,4002,4002,24,Thu,Short Term Visitor,OO,865.52,22,23
4597,4002,4002,24,Thu,Short Term Visitor,OH,1989.32,22,23
4614,4002,4002,24,Thu,Inbound Commuter,OO,127.53,5,6
4619,4002,4002,24,Thu,Short Term Visitor,WO,1192.98,12,13
