Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
10,10,4003,4003,1,Tue,Short Term Visitor,HH,11179.95,10,11
11,11,4003,4003,1,Tue,Short Term Visitor,HO,3678.08,15,16
12,12,4003,4003,1,Tue,Short Term Visitor,OH,5603.02,15,16
13,13,4003,4003,1,Tue,Short Term Visitor,HO,1818.47,19,20
14,14,4003,4003,1,Tue,Short Term Visitor,OH,6146.59,20,21
34,34,4003,4003,1,Tue,Short Term Visitor,WW,1647.39,8,9
35,35,4003,4003,1,Tue,Short Term Visitor,WO,1475.07,10,11
36,36,4003,4003,1,Tue,Short Term Visitor,OW,1249.39,15,16
159,159,4003,4003,1,Tue,Short Term Visitor,HH,11199.21,16,17
168,168,4003,4003,1,Tue,Short Term Visitor,HW,6089.33,8,9
169,169,4003,4003,1,Tue,Short Term Visitor,WO,3236.84,15,16
170,170,4003,4003,1,Tue,Short Term Visitor,OH,6527.57,16,17
177,177,4003,4003,1,Tue,Long Term Visitor,OO,7127.34,11,12
179,179,4003,4003,1,Tue,Outbound Commuter,WW,223.14,9,10
250,250,4003,4003,1,Tue,Resident Worker,OO,512.38,17,18
322,322,4003,4003,1,Tue,Short Term Visitor,HW,9841.89,7,8
326,326,4003,4003,1,Tue,Short Term Visitor,HW,1025.65,16,17
358,358,4003,4003,1,Tue,Inbound Commuter,OO,608.49,16,17
380,380,4003,4003,1,Tue,Short Term Visitor,OO,4836.59,6,7
388,388,4003,4003,1,Tue,Short Term Visitor,OO,1724.98,5,6
399,399,4003,4003,1,Tue,Short Term Visitor,WO,4853.96,16,17
400,400,4003,4003,1,Tue,Short Term Visitor,OO,10307.83,17,18
401,401,4003,4003,1,Tue,Short Term Visitor,OO,8963.75,18,19
402,402,4003,4003,1,Tue,Short Term Visitor,OO,7649.69,19,20
403,403,4003,4003,1,Tue,Short Term Visitor,OH,4725.75,21,22
433,433,4003,4003,1,Tue,Inbound Commuter,OH,474.63,21,22
451,451,4003,4003,1,Tue,Short Term Visitor,OO,9508.12,13,14
480,480,4003,4003,1,Tue,Short Term Visitor,HH,11580.61,7,8
