Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
43,4003,4003,11,Fri,Short Term Visitor,OH,1064.06,1,2
81,4003,4003,11,Fri,Short Term Visitor,OH,805.77,0,1
117,4003,4003,11,Fri,Inbound Commuter,OH,70.61,1,2
124,4003,4003,11,Fri,Short Term Visitor,OH,201.71,3,4
140,4003,4003,11,Fri,Short Term Visitor,HH,2081.15,0,1
182,4003,4003,11,Fri,Inbound Commuter,OH,41.11,4,5
199,4003,4003,11,Fri,Inbound Commuter,HH,102.9,0,1
205,4003,4003,11,Fri,Short Term Visitor,WH,157.24,1,2
339,4003,4003,11,Fri,Short Term Visitor,WH,357.75,0,1
425,4003,4003,11,Fri,Long Term Visitor,OO,387.08,0,1
429,4003,4003,11,Fri,Short Term Visitor,HO,115.61,0,1
445,4003,4003,11,Fri,Short Term Visitor,OH,276.06,2,3
481,4003,4003,11,Fri,Short Term Visitor,OO,460.23,0,1
555,4003,4003,11,Fri,Inbound Commuter,OO,130.76,0,1
622,4003,4003,11,Fri,Short Term Visitor,OH,343.71,4,5
691,4003,4003,11,Fri,Short Term Visitor,WH,47.84,3,4
760,4003,4003,11,Fri,Home Worker,OO,35.86,0,1
889,4003,4003,11,Fri,Short Term Visitor,WW,110.21,0,1
911,4003,4003,11,Fri,Inbound Commuter,HO,41.82,0,1
1160,4003,4003,11,Fri,Inbound Commuter,OH,36.06,3,4
1283,4003,4003,11,Fri,Short Term Visitor,OW,38.0,0,1
1323,4003,4003,11,Fri,Outbound Commuter,OO,71.35,0,1
2003,4003,4003,11,Fri,Inbound Commuter,OH,40.26,0,1
2074,4003,4003,11,Fri,Short Term Visitor,WH,61.57,2,3
2364,4003,4003,11,Fri,Short Term Visitor,HO,3949.31,13,14
2365,4003,4003,11,Fri,Short Term Visitor,OH,6615.47,20,21
2367,4003,4003,11,Fri,Short Term Visitor,HH,9418.43,6,7
2403,4003,4003,11,Fri,Short Term Visitor,WW,1834.11,9,10
2404,4003,4003,11,Fri,Short Term Visitor,WW,2307.47,14,15
2405,4003,4003,11,Fri,Short Term Visitor,WO,3370.36,17,18
2428,4003,4003,11,Fri,Inbound Commuter,HO,185.13,9,10
2429,4003,4003,11,Fri,Inbound Commuter,OH,138.95,10,11
2430,4003,4003,11,Fri,Inbound Commuter,HO,336.35,14,15
2431,4003,4003,11,Fri,Inbound Commuter,OH,205.83,14,15
2514,4003,4003,11,Fri,Short Term Visitor,OO,9096.25,8,9
2535,4003,4003,11,Fri,Short Term Visitor,HO,2146.59,19,20
2536,4003,4003,11,Fri,Short Term Visitor,OH,6316.11,19,20
2555,4003,4003,11,Fri,Short Term Visitor,HW,3225.49,5,6
2556,4003,4003,11,Fri,Short Term Visitor,WO,2240.79,13,14
2557,4003,4003,11,Fri,Short Term Visitor,OH,6154.47,16,17
2558,4003,4003,11,Fri,Short Term Visitor,HH,7288.66,19,20
2559,4003,4003,11,Fri,Short Term Visitor,HH,11653.74,7,8
2560,4003,4003,11,Fri,Short Term Visitor,HH,12162.46,17,18
2561,4003,4003,11,Fri,Short Term Visitor,HH,5711.05,21,22
2623,4003,4003,11,Fri,Short Term Visitor,HH,2504.31,4,5
2624,4003,4003,11,Fri,Short Term Visitor,HH,10482.1,13,14
2625,4003,4003,11,Fri,Short Term Visitor,HO,4807.33,17,18
2632,4003,4003,11,Fri,Short Term Visitor,WW,1576.64,16,17
2649,4003,4003,11,Fri,Short Term Visitor,OO,9168.08,11,12
2650,4003,4003,11,Fri,Short Term Visitor,HH,9574.15,14,15
2712,4003,4003,11,Fri,Long Term Visitor,OO,2753.2,7,8
2713,4003,4003,11,Fri,Long Term Visitor,OO,6023.23,12,13
2748,4003,4003,11,Fri,Short Term Visitor,HH,12018.45,10,11
2749,4003,4003,11,Fri,Short Term Visitor,HH,10069.27,12,13
2750,4003,4003,11,Fri,Short Term Visitor,HO,3610.19,14,15
2751,4003,4003,11,Fri,Short Term Visitor,OH,5483.08,14,15
2752,4003,4003,11,Fri,Short Term Visitor,HH,11866.94,16,17
2796,4003,4003,11,Fri,Inbound Commuter,OO,1093.92,17,18
2813,4003,4003,11,Fri,Short Term Visitor,OO,10451.2,14,15
2814,4003,4003,11,Fri,Short Term Visitor,OO,11425.55,12,13
2849,4003,4003,11,Fri,Short Term Visitor,OO,11165.94,13,14
2850,4003,4003,11,Fri,Short Term Visitor,OW,1388.11,14,15
2852,4003,4003,11,Fri,Inbound Commuter,HH,686.45,19,20
2891,4003,4003,11,Fri,Short Term Visitor,OH,399.7,6,7
2898,4003,4003,11,Fri,Long Term Visitor,OO,5756.21,14,15
2899,4003,4003,11,Fri,Long Term Visitor,OO,6148.0,16,17
2911,4003,4003,11,Fri,Short Term Visitor,HH,12467.92,9,10
2912,4003,4003,11,Fri,Short Term Visitor,HO,1551.58,20,21
2913,4003,4003,11,Fri,Short Term Visitor,OH,6391.01,21,22
2976,4003,4003,11,Fri,Long Term Visitor,OO,5629.45,8,9
3061,4003,4003,11,Fri,Short Term Visitor,WO,1291.33,9,10
3078,4003,4003,11,Fri,Short Term Visitor,HO,4125.15,15,16
3224,4003,4003,11,Fri,Short Term Visitor,OO,4834.9,6,7
3286,4003,4003,11,Fri,Short Term Visitor,WW,424.8,19,20
3287,4003,4003,11,Fri,Short Term Visitor,WH,2027.54,20,21
3333,4003,4003,11,Fri,Short Term Visitor,HO,7937.27,7,8
3334,4003,4003,11,Fri,Short Term Visitor,OH,5944.67,15,16
3342,4003,4003,11,Fri,Short Term Visitor,HH,11846.62,8,9
3374,4003,4003,11,Fri,Short Term Visitor,OO,10111.05,16,17
3518,4003,4003,11,Fri,Long Term Visitor,OO,6804.41,11,12
3538,4003,4003,11,Fri,Short Term Visitor,OO,5541.44,7,8
3568,4003,4003,11,Fri,Inbound Commuter,OO,952.92,18,19
3569,4003,4003,11,Fri,Inbound Commuter,OH,538.6,22,23
3574,4003,4003,11,Fri,Short Term Visitor,WH,4423.77,17,18
3588,4003,4003,11,Fri,Short Term Visitor,HO,989.81,21,22
3592,4003,4003,11,Fri,Short Term Visitor,HO,2630.4,5,6
3595,4003,4003,11,Fri,Short Term Visitor,HH,7446.75,20,21
3619,4003,4003,11,Fri,Short Term Visitor,OO,10478.47,15,16
3621,4003,4003,11,Fri,Short Term Visitor,OO,4953.06,21,22
3657,4003,4003,11,Fri,Inbound Commuter,OO,1379.37,19,20
3658,4003,4003,11,Fri,Short Term Visitor,HO,4713.17,16,17
3659,4003,4003,11,Fri,Inbound Commuter,OO,478.1,13,14
3660,4003,4003,11,Fri,Inbound Commuter,OH,808.45,18,19
3680,4003,4003,11,Fri,Long Term Visitor,OO,7275.55,9,10
3699,4003,4003,11,Fri,Short Term Visitor,HO,5440.47,10,11
