Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
7,7,977,987,1,Tue,Long Term Visitor,OO,38.14,18,19
15,15,985,929,1,Tue,Long Term Visitor,OO,5.04,15,16
24,24,977,662,1,Tue,Long Term Visitor,OO,41.16,17,18
28,28,635,813,1,Tue,Resident Worker,OO,46.31,18,19
32,32,477,477,1,Tue,Home Worker,HH,32.92,5,6
33,33,477,477,1,Tue,Home Worker,HH,79.84,16,17
41,41,1040,949,1,Tue,Home Worker,HH,14.41,16,17
44,44,309,309,1,Tue,Resident Worker,OO,54.93,6,7
45,45,309,309,1,Tue,Resident Worker,OO,171.21,14,15
46,46,309,311,1,Tue,Resident Worker,OO,54.93,17,18
47,47,311,309,1,Tue,Resident Worker,OO,54.93,17,18
48,48,309,304,1,Tue,Resident Worker,OO,106.5,19,20
50,50,734,952,1,Tue,Long Term Visitor,OO,39.63,14,15
53,53,752,752,1,Tue,Home Worker,HH,20.39,17,18
55,55,628,631,1,Tue,Home Worker,HO,36.01,14,15
56,56,632,628,1,Tue,Home Worker,OH,36.01,16,17
89,89,371,371,1,Tue,Home Worker,HH,93.13,9,10
92,92,371,371,1,Tue,Home Worker,HH,85.01,14,15
93,93,371,371,1,Tue,Home Worker,HH,46.58,17,18
100,100,630,635,1,Tue,Resident Worker,OO,31.57,6,7
101,101,635,635,1,Tue,Resident Worker,OO,161.61,8,9
120,120,944,944,1,Tue,Outbound Commuter,OO,8.42,11,12
121,121,944,944,1,Tue,Outbound Commuter,OO,8.42,15,16
122,122,455,455,1,Tue,Resident Worker,OO,25.98,15,16
123,123,985,1019,1,Tue,Long Term Visitor,OO,46.92,12,13
124,124,895,801,1,Tue,Long Term Visitor,OO,88.85,17,18
127,127,912,932,1,Tue,Long Term Visitor,OO,39.33,8,9
128,128,646,726,1,Tue,Long Term Visitor,OO,35.92,12,13
129,129,726,645,1,Tue,Long Term Visitor,OO,35.92,19,20
130,130,924,426,1,Tue,Resident Worker,HW,7.98,8,9
131,131,426,924,1,Tue,Resident Worker,WH,7.98,12,13
132,132,934,934,1,Tue,Long Term Visitor,OO,142.2,21,22
135,135,920,958,1,Tue,Long Term Visitor,OO,37.98,11,12
136,136,958,920,1,Tue,Long Term Visitor,OO,37.98,14,15
141,141,880,1039,1,Tue,Home Worker,HO,64.93,9,10
145,145,895,895,1,Tue,Home Worker,HH,7.91,10,11
150,150,628,836,1,Tue,Home Worker,OO,35.69,18,19
171,171,1066,1066,1,Tue,Home Worker,HH,60.22,8,9
172,172,1066,482,1,Tue,Home Worker,HO,30.0,18,19
173,173,482,1066,1,Tue,Home Worker,OH,30.0,20,21
175,175,730,457,1,Tue,Resident Worker,OO,17.38,10,11
176,176,457,730,1,Tue,Resident Worker,OO,17.38,14,15
184,184,932,902,1,Tue,Long Term Visitor,OO,42.03,19,20
186,186,897,902,1,Tue,Long Term Visitor,OO,656.78,11,12
190,190,917,977,1,Tue,Long Term Visitor,OO,129.89,14,15
191,191,1039,931,1,Tue,Long Term Visitor,OO,43.55,10,11
192,192,907,897,1,Tue,Long Term Visitor,OO,41.88,9,10
211,211,628,628,1,Tue,Resident Worker,HH,39.98,6,7
218,218,978,977,1,Tue,Long Term Visitor,OO,143.78,22,23
219,219,1066,499,1,Tue,Resident Worker,HH,21.91,8,9
225,225,799,511,1,Tue,Outbound Commuter,HO,11.16,7,8
226,226,511,799,1,Tue,Outbound Commuter,OH,11.16,12,13
227,227,1054,1054,1,Tue,Home Worker,HH,86.85,15,16
248,248,369,324,1,Tue,Resident Worker,HO,52.35,9,10
252,252,501,501,1,Tue,Resident Worker,HH,57.81,11,12
253,253,883,848,1,Tue,Home Worker,HO,23.87,14,15
254,254,848,635,1,Tue,Home Worker,OO,23.87,16,17
255,255,635,877,1,Tue,Home Worker,OH,23.87,19,20
258,258,897,906,1,Tue,Long Term Visitor,OO,1293.05,17,18
259,259,903,915,1,Tue,Long Term Visitor,OO,201.88,20,21
262,262,737,737,1,Tue,Resident Worker,HH,11.89,9,10
264,264,441,437,1,Tue,Home Worker,HH,59.82,12,13
268,268,943,957,1,Tue,Resident Worker,OO,79.1,9,10
269,269,957,427,1,Tue,Resident Worker,OO,79.1,9,10
270,270,427,957,1,Tue,Resident Worker,OO,79.1,15,16
272,272,903,904,1,Tue,Long Term Visitor,OO,112.1,16,17
277,277,437,315,1,Tue,Resident Worker,OH,40.32,19,20
278,278,676,813,1,Tue,Resident Worker,HH,29.46,8,9
285,285,620,618,1,Tue,Resident Worker,WO,37.97,12,13
291,291,664,664,1,Tue,Resident Worker,HH,62.07,9,10
297,297,819,808,1,Tue,Home Worker,HO,50.19,6,7
298,298,808,819,1,Tue,Home Worker,OH,50.19,17,18
300,300,943,943,1,Tue,Home Worker,HH,50.86,5,6
301,301,943,943,1,Tue,Home Worker,HH,25.8,11,12
302,302,933,897,1,Tue,Long Term Visitor,OO,233.32,9,10
311,311,632,795,1,Tue,Resident Worker,OW,49.12,7,8
312,312,795,632,1,Tue,Resident Worker,WO,49.12,17,18
313,313,925,897,1,Tue,Long Term Visitor,OO,43.48,8,9
314,314,342,1045,1,Tue,Resident Worker,HW,81.01,8,9
315,315,1045,342,1,Tue,Resident Worker,WH,81.01,15,16
318,318,412,655,1,Tue,Resident Worker,HW,75.91,8,9
319,319,655,412,1,Tue,Resident Worker,WH,75.91,17,18
320,320,908,897,1,Tue,Long Term Visitor,OO,656.96,8,9
321,321,897,908,1,Tue,Long Term Visitor,OO,5.94,13,14
324,324,902,902,1,Tue,Short Term Visitor,OO,37.2,9,10
336,336,674,674,1,Tue,Home Worker,HH,59.36,10,11
340,340,347,438,1,Tue,Resident Worker,HO,26.11,7,8
341,341,438,674,1,Tue,Resident Worker,OW,26.11,8,9
345,345,679,819,1,Tue,Resident Worker,HO,81.56,18,19
346,346,819,686,1,Tue,Resident Worker,OH,81.56,21,22
351,351,312,328,1,Tue,Long Term Visitor,OO,45.82,8,9
352,352,937,937,1,Tue,Long Term Visitor,OO,204.54,11,12
363,363,801,801,1,Tue,Resident Worker,HH,10.53,14,15
365,365,774,500,1,Tue,Long Term Visitor,OO,29.64,13,14
366,366,500,774,1,Tue,Long Term Visitor,OO,29.64,16,17
377,377,682,902,1,Tue,Long Term Visitor,OO,43.83,18,19
386,386,914,903,1,Tue,Long Term Visitor,OO,77.76,6,7
387,387,903,914,1,Tue,Long Term Visitor,OO,411.0,20,21
393,393,514,514,1,Tue,Home Worker,HH,47.43,14,15
394,394,1031,588,1,Tue,Short Term Visitor,OO,15.31,9,10
