Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
3,715,493,19,Sat,Home Worker,OH,20.23,2,3
4,730,380,19,Sat,Home Worker,OH,27.54,0,1
15,499,499,19,Sat,Home Worker,HH,61.61,0,1
16,323,507,19,Sat,Home Worker,OH,24.77,1,2
23,820,966,19,Sat,Home Worker,OH,30.84,3,4
26,902,936,19,Sat,Home Worker,OH,32.28,0,1
28,340,322,19,Sat,Home Worker,OH,53.16,0,1
31,897,903,19,Sat,Long Term Visitor,OO,180.34,0,1
34,713,590,19,Sat,Home Worker,OH,30.38,1,2
35,764,493,19,Sat,Home Worker,OH,18.33,0,1
38,671,504,19,Sat,Resident Worker,OW,4.66,0,1
39,504,896,19,Sat,Resident Worker,WH,4.66,3,4
41,867,977,19,Sat,Short Term Visitor,OO,46.72,0,1
42,810,824,19,Sat,Resident Worker,OH,45.0,0,1
43,798,909,19,Sat,Home Worker,OO,53.23,0,1
44,909,673,19,Sat,Home Worker,OH,53.23,1,2
45,635,496,19,Sat,Home Worker,OH,18.72,1,2
48,786,787,19,Sat,Resident Worker,WH,18.28,3,4
50,924,934,19,Sat,Resident Worker,OH,13.67,0,1
53,906,914,19,Sat,Resident Worker,OO,61.78,0,1
54,914,934,19,Sat,Resident Worker,OO,61.78,0,1
55,934,842,19,Sat,Resident Worker,OH,61.78,1,2
56,903,501,19,Sat,Home Worker,OH,18.38,2,3
60,910,915,19,Sat,Home Worker,OH,13.36,0,1
63,965,346,19,Sat,Resident Worker,OH,31.96,0,1
67,788,788,19,Sat,Home Worker,HH,38.13,0,1
69,496,500,19,Sat,Home Worker,OH,15.9,2,3
75,632,632,19,Sat,Home Worker,OO,78.33,0,1
76,632,631,19,Sat,Home Worker,OH,78.33,2,3
78,1001,1001,19,Sat,Home Worker,HH,59.77,0,1
79,1010,1006,19,Sat,Home Worker,OH,30.92,0,1
81,612,500,19,Sat,Home Worker,OH,15.06,1,2
90,527,786,19,Sat,Resident Worker,OH,6.37,0,1
93,705,882,19,Sat,Resident Worker,WH,40.25,0,1
99,810,797,19,Sat,Home Worker,OH,36.5,1,2
100,629,424,19,Sat,Resident Worker,OH,75.17,0,1
102,500,759,19,Sat,Home Worker,OO,50.12,0,1
103,759,1006,19,Sat,Home Worker,OH,50.12,1,2
108,916,943,19,Sat,Home Worker,OH,21.66,1,2
112,716,932,19,Sat,Home Worker,OH,22.12,2,3
121,972,977,19,Sat,Long Term Visitor,OO,149.78,0,1
125,924,924,19,Sat,Resident Worker,HH,7.28,0,1
126,932,935,19,Sat,Home Worker,OH,48.23,2,3
127,897,916,19,Sat,Home Worker,OH,44.77,2,3
128,803,766,19,Sat,Long Term Visitor,OO,31.24,0,1
129,766,633,19,Sat,Long Term Visitor,OO,31.24,0,1
130,788,651,19,Sat,Home Worker,OH,30.57,0,1
133,697,499,19,Sat,Home Worker,OH,12.2,1,2
134,917,986,19,Sat,Resident Worker,HW,12.41,0,1
135,986,917,19,Sat,Resident Worker,WH,12.41,0,1
138,719,477,19,Sat,Home Worker,OH,29.27,2,3
140,787,787,19,Sat,Resident Worker,OH,30.35,2,3
141,992,992,19,Sat,Home Worker,HH,31.95,0,1
146,897,820,19,Sat,Resident Worker,WH,72.77,0,1
156,920,758,19,Sat,Home Worker,OH,35.77,0,1
160,491,889,19,Sat,Home Worker,HO,30.52,0,1
161,889,491,19,Sat,Home Worker,OH,30.52,1,2
162,666,797,19,Sat,Resident Worker,OH,41.69,1,2
163,858,726,19,Sat,Resident Worker,WH,14.04,2,3
167,787,382,19,Sat,Home Worker,OH,39.33,0,1
168,601,751,19,Sat,Resident Worker,OH,27.19,1,2
173,1011,1011,19,Sat,Short Term Visitor,OO,30.17,0,1
177,888,499,19,Sat,Home Worker,OH,18.16,1,2
179,1076,977,19,Sat,Short Term Visitor,OO,35.06,0,1
184,718,917,19,Sat,Resident Worker,OH,10.11,3,4
191,972,977,19,Sat,Short Term Visitor,OO,78.47,0,1
193,812,817,19,Sat,Home Worker,HH,7.77,0,1
194,716,501,19,Sat,Home Worker,OH,18.11,3,4
195,342,325,19,Sat,Home Worker,OH,60.17,0,1
196,985,1076,19,Sat,Resident Worker,HW,10.12,0,1
197,1076,985,19,Sat,Resident Worker,WH,10.12,0,1
203,797,935,19,Sat,Resident Worker,OH,10.88,1,2
204,334,334,19,Sat,Home Worker,HH,41.08,0,1
212,719,635,19,Sat,Home Worker,OH,34.06,0,1
218,445,711,19,Sat,Short Term Visitor,OO,28.62,0,1
219,897,785,19,Sat,Home Worker,OH,6.2,2,3
221,304,304,19,Sat,Resident Worker,HH,35.17,0,1
223,568,589,19,Sat,Resident Worker,WH,24.7,0,1
225,669,1059,19,Sat,Resident Worker,WH,48.96,0,1
230,628,493,19,Sat,Resident Worker,OO,20.75,0,1
231,641,655,19,Sat,Resident Worker,OH,30.85,2,3
232,925,781,19,Sat,Resident Worker,OH,34.77,0,1
233,477,1049,19,Sat,Home Worker,OH,50.3,1,2
235,947,367,19,Sat,Resident Worker,WH,51.04,0,1
238,955,815,19,Sat,Home Worker,OH,63.94,1,2
239,729,506,19,Sat,Home Worker,OH,36.44,1,2
241,689,425,19,Sat,Home Worker,OH,136.56,0,1
247,908,916,19,Sat,Long Term Visitor,OO,4.33,0,1
249,430,595,19,Sat,Home Worker,OH,13.24,0,1
250,495,773,19,Sat,Inbound Commuter,OO,30.05,0,1
253,715,831,19,Sat,Home Worker,OH,51.12,1,2
256,638,389,19,Sat,Resident Worker,OO,17.98,0,1
257,807,962,19,Sat,Resident Worker,HW,9.27,0,1
258,962,807,19,Sat,Resident Worker,WH,9.27,0,1
262,635,950,19,Sat,Resident Worker,OH,13.5,4,5
264,500,492,19,Sat,Home Worker,OH,37.77,0,1
265,772,744,19,Sat,Home Worker,OH,18.02,0,1
273,903,916,19,Sat,Home Worker,OH,34.19,0,1
274,920,720,19,Sat,Home Worker,OH,19.25,0,1
275,946,676,19,Sat,Resident Worker,OH,39.1,0,1
277,496,634,19,Sat,Home Worker,OH,48.42,1,2
278,715,819,19,Sat,Home Worker,OH,66.53,1,2
279,732,1027,19,Sat,Home Worker,OH,22.56,3,4
280,612,620,19,Sat,Resident Worker,OO,80.8,0,1
281,620,881,19,Sat,Resident Worker,OH,80.8,0,1
283,629,486,19,Sat,Home Worker,OH,18.13,0,1
286,839,721,19,Sat,Home Worker,OH,27.12,2,3
287,916,567,19,Sat,Resident Worker,OH,45.0,0,1
289,1072,891,19,Sat,Home Worker,OH,49.69,2,3
291,476,499,19,Sat,Home Worker,OH,15.71,0,1
299,730,495,19,Sat,Home Worker,OH,31.15,0,1
301,655,315,19,Sat,Resident Worker,OH,44.59,2,3
302,903,667,19,Sat,Home Worker,OH,9.57,1,2
309,980,1021,19,Sat,Long Term Visitor,OO,35.13,0,1
311,832,476,19,Sat,Home Worker,OH,29.03,0,1
313,897,936,19,Sat,Home Worker,OH,103.25,1,2
314,635,479,19,Sat,Home Worker,OH,17.34,2,3
317,897,916,19,Sat,Home Worker,OH,34.22,1,2
318,1070,635,19,Sat,Resident Worker,OH,82.15,0,1
320,425,931,19,Sat,Resident Worker,OH,23.83,1,2
323,748,635,19,Sat,Home Worker,OH,45.82,0,1
324,798,668,19,Sat,Resident Worker,OH,43.48,2,3
326,913,935,19,Sat,Long Term Visitor,OO,36.34,0,1
327,464,589,19,Sat,Home Worker,OH,27.11,2,3
329,532,500,19,Sat,Resident Worker,OH,9.24,0,1
330,713,818,19,Sat,Resident Worker,OH,70.55,0,1
331,810,819,19,Sat,Resident Worker,WH,51.93,1,2
334,500,632,19,Sat,Home Worker,OH,26.28,1,2
335,716,1070,19,Sat,Home Worker,OH,49.37,0,1
338,715,832,19,Sat,Home Worker,OH,62.74,2,3
339,972,972,19,Sat,Resident Worker,HH,23.7,0,1
341,492,498,19,Sat,Home Worker,OH,58.6,0,1
343,832,815,19,Sat,Outbound Commuter,OH,71.76,1,2
344,732,796,19,Sat,Resident Worker,WH,30.48,0,1
345,969,969,19,Sat,Home Worker,HH,44.95,0,1
348,496,716,19,Sat,Outbound Commuter,OH,12.57,1,2
352,962,969,19,Sat,Resident Worker,WH,52.05,0,1
353,500,497,19,Sat,Resident Worker,OO,17.01,0,1
358,879,627,19,Sat,Resident Worker,OH,15.23,0,1
362,500,635,19,Sat,Resident Worker,OH,43.38,0,1
363,738,883,19,Sat,Resident Worker,WH,29.61,2,3
364,632,495,19,Sat,Home Worker,OO,14.5,0,1
365,495,635,19,Sat,Home Worker,OO,14.5,0,1
366,635,500,19,Sat,Home Worker,OH,14.5,0,1
369,897,992,19,Sat,Home Worker,OH,34.0,0,1
375,496,500,19,Sat,Home Worker,OH,29.75,1,2
376,801,667,19,Sat,Home Worker,OH,65.66,0,1
377,626,772,19,Sat,Resident Worker,OH,67.09,0,1
379,719,668,19,Sat,Resident Worker,OH,29.02,0,1
380,865,441,19,Sat,Resident Worker,OH,42.01,1,2
382,897,916,19,Sat,Long Term Visitor,OO,34.09,0,1
384,697,495,19,Sat,Home Worker,OH,31.46,1,2
393,985,877,19,Sat,Long Term Visitor,OO,36.43,0,1
395,792,949,19,Sat,Home Worker,OH,35.33,0,1
397,984,632,19,Sat,Resident Worker,OH,26.54,0,1
399,726,879,19,Sat,Resident Worker,OH,57.33,1,2
401,496,788,19,Sat,Home Worker,OH,33.18,1,2
402,868,772,19,Sat,Home Worker,HH,80.28,0,1
403,903,960,19,Sat,Home Worker,OH,50.44,0,1
406,1068,945,19,Sat,Home Worker,OH,56.36,0,1
410,945,799,19,Sat,Resident Worker,WH,10.92,0,1
412,1009,1006,19,Sat,Home Worker,OH,37.33,1,2
413,899,899,19,Sat,Resident Worker,HH,7.87,0,1
417,897,906,19,Sat,Long Term Visitor,OO,12.81,0,1
419,922,561,19,Sat,Resident Worker,WH,42.87,2,3
421,897,936,19,Sat,Resident Worker,WH,11.86,0,1
423,633,501,19,Sat,Home Worker,OH,26.48,0,1
425,840,914,19,Sat,Home Worker,OH,26.82,4,5
439,876,641,19,Sat,Resident Worker,OH,27.74,1,2
442,677,662,19,Sat,Home Worker,OH,38.14,2,3
443,487,1076,19,Sat,Long Term Visitor,OO,42.32,0,1
444,713,495,19,Sat,Home Worker,OH,34.98,4,5
445,730,492,19,Sat,Resident Worker,OH,32.81,1,2
446,947,820,19,Sat,Short Term Visitor,OO,29.31,0,1
447,695,315,19,Sat,Resident Worker,OH,54.16,0,1
449,481,630,19,Sat,Home Worker,OH,59.28,1,2
458,966,958,19,Sat,Outbound Commuter,OH,43.84,3,4
461,751,328,19,Sat,Resident Worker,OO,39.74,0,1
465,985,977,19,Sat,Long Term Visitor,OO,138.05,0,1
477,630,799,19,Sat,Resident Worker,WH,9.52,2,3
478,669,664,19,Sat,Resident Worker,HH,63.1,0,1
479,903,674,19,Sat,Home Worker,OH,60.45,0,1
482,775,501,19,Sat,Long Term Visitor,OO,21.42,0,1
484,673,801,19,Sat,Resident Worker,WH,8.93,1,2
485,775,883,19,Sat,Home Worker,OH,38.1,1,2
491,694,868,19,Sat,Home Worker,OH,55.38,0,1
494,897,1049,19,Sat,Home Worker,OH,49.87,3,4
496,977,1002,19,Sat,Short Term Visitor,OO,34.38,0,1
501,955,872,19,Sat,Home Worker,OH,30.25,2,3
502,646,382,19,Sat,Outbound Commuter,OH,55.4,3,4
503,952,952,19,Sat,Home Worker,HH,54.99,0,1
504,1063,620,19,Sat,Resident Worker,OH,35.42,0,1
506,716,635,19,Sat,Home Worker,OH,43.95,1,2
509,476,428,19,Sat,Resident Worker,OH,58.0,0,1
511,913,541,19,Sat,Resident Worker,OH,36.95,0,1
512,796,730,19,Sat,Resident Worker,OH,15.45,0,1
514,968,962,19,Sat,Long Term Visitor,OO,27.82,0,1
516,909,910,19,Sat,Home Worker,OH,26.65,0,1
518,340,560,19,Sat,Long Term Visitor,OH,56.99,0,1
519,796,872,19,Sat,Short Term Visitor,OO,39.56,0,1
521,977,972,19,Sat,Long Term Visitor,OO,82.68,0,1
525,448,623,19,Sat,Resident Worker,WH,71.78,0,1
526,813,425,19,Sat,Home Worker,OH,74.16,3,4
533,713,499,19,Sat,Home Worker,OH,20.45,0,1
535,1070,344,19,Sat,Home Worker,OH,49.15,2,3
536,842,500,19,Sat,Home Worker,OH,12.07,0,1
537,804,1072,19,Sat,Home Worker,OH,50.91,1,2
538,305,304,19,Sat,Outbound Commuter,OH,31.52,0,1
539,814,674,19,Sat,Home Worker,OH,55.99,0,1
541,716,843,19,Sat,Outbound Commuter,OH,76.82,2,3
543,877,984,19,Sat,Long Term Visitor,OO,33.23,0,1
546,897,931,19,Sat,Resident Worker,HW,7.88,0,1
547,931,897,19,Sat,Resident Worker,WH,7.88,0,1
551,910,906,19,Sat,Home Worker,OH,8.08,0,1
558,501,1006,19,Sat,Home Worker,OH,48.27,0,1
563,730,501,19,Sat,Home Worker,OH,15.73,3,4
564,627,627,19,Sat,Home Worker,HH,50.41,0,1
565,706,882,19,Sat,Resident Worker,WH,36.51,0,1
566,496,635,19,Sat,Resident Worker,OH,39.84,1,2
568,832,832,19,Sat,Resident Worker,OO,37.34,0,1
570,842,328,19,Sat,Resident Worker,OH,41.66,1,2
571,868,879,19,Sat,Long Term Visitor,OH,60.57,0,1
580,794,911,19,Sat,Home Worker,OH,31.72,2,3
581,730,457,19,Sat,Home Worker,OH,21.38,0,1
587,659,596,19,Sat,Home Worker,OH,12.85,0,1
590,744,455,19,Sat,Home Worker,OH,25.58,1,2
595,897,898,19,Sat,Long Term Visitor,OO,32.22,0,1
596,719,495,19,Sat,Home Worker,OH,28.73,2,3
597,693,693,19,Sat,Resident Worker,HH,60.06,0,1
598,986,991,19,Sat,Home Worker,OH,31.49,0,1
600,801,500,19,Sat,Home Worker,OH,14.26,0,1
601,808,717,19,Sat,Home Worker,OO,39.61,0,1
603,806,596,19,Sat,Resident Worker,WH,11.05,0,1
604,751,667,19,Sat,Resident Worker,OH,9.32,3,4
606,309,306,19,Sat,Long Term Visitor,OO,30.23,0,1
612,897,936,19,Sat,Home Worker,OH,64.79,0,1
613,949,990,19,Sat,Home Worker,OH,24.13,3,4
614,804,342,19,Sat,Home Worker,OH,71.58,2,3
615,903,937,19,Sat,Home Worker,OH,38.7,0,1
616,716,626,19,Sat,Home Worker,OH,43.44,3,4
618,641,694,19,Sat,Resident Worker,WH,46.2,0,1
619,916,916,19,Sat,Long Term Visitor,OO,109.49,0,1
620,719,491,19,Sat,Resident Worker,OH,35.11,0,1
