Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
66,66,1174,1173,1,Tue,Home Worker,HH,7.49,6,7
67,67,1319,1317,1,Tue,Resident Worker,HW,20.64,5,6
68,68,1317,1251,1,Tue,Resident Worker,WH,20.64,6,7
69,69,1251,1241,1,Tue,Resident Worker,HO,20.64,7,8
70,70,1241,1317,1,Tue,Resident Worker,OW,20.64,9,10
71,71,1317,1232,1,Tue,Resident Worker,WO,20.64,11,12
72,72,1232,1317,1,Tue,Resident Worker,OW,20.64,13,14
73,73,1317,1319,1,Tue,Resident Worker,WH,20.64,14,15
95,95,1341,1232,1,Tue,Resident Worker,WO,40.54,9,10
96,96,1216,1202,1,Tue,Home Worker,HO,43.11,9,10
97,97,1202,1216,1,Tue,Home Worker,OH,43.11,13,14
98,98,1216,1172,1,Tue,Home Worker,HO,43.11,16,17
99,99,1172,1216,1,Tue,Home Worker,OH,43.11,19,20
133,133,1313,1313,1,Tue,Home Worker,HH,44.65,6,7
144,144,1270,1235,1,Tue,Resident Worker,OO,35.05,11,12
207,207,1173,1310,1,Tue,Home Worker,HH,9.63,5,6
243,243,1228,1349,1,Tue,Resident Worker,HW,67.12,7,8
281,281,1106,1214,1,Tue,Inbound Commuter,OW,23.51,16,17
293,293,1321,1250,1,Tue,Resident Worker,HW,4.76,7,8
294,294,1250,1230,1,Tue,Resident Worker,WH,4.76,16,17
344,344,1175,1175,1,Tue,Home Worker,OO,8.69,11,12
369,369,1235,1244,1,Tue,Resident Worker,OO,39.47,18,19
392,392,1263,1263,1,Tue,Long Term Visitor,OO,159.61,8,9
482,482,1106,1145,1,Tue,Home Worker,OH,18.85,9,10
543,543,1244,1136,1,Tue,Home Worker,OO,22.87,8,9
544,544,1136,1244,1,Tue,Home Worker,OO,22.87,9,10
554,554,1238,1238,1,Tue,Home Worker,HH,54.44,9,10
562,562,1136,1152,1,Tue,Resident Worker,OO,73.85,7,8
563,563,1152,1136,1,Tue,Resident Worker,OO,73.85,13,14
580,580,1318,1242,1,Tue,Home Worker,HO,23.35,5,6
583,583,1242,1220,1,Tue,Home Worker,OO,23.35,17,18
584,584,1220,1318,1,Tue,Home Worker,OH,23.35,19,20
590,590,1181,1181,1,Tue,Home Worker,HH,16.06,5,6
591,591,1181,1181,1,Tue,Home Worker,HH,16.06,14,15
611,611,1197,1197,1,Tue,Resident Worker,WW,13.2,10,11
637,637,1176,1173,1,Tue,Outbound Commuter,HW,5.92,7,8
724,724,1224,1224,1,Tue,Resident Worker,WW,6.05,13,14
725,725,1224,1228,1,Tue,Resident Worker,WO,6.05,15,16
886,886,1294,1294,1,Tue,Resident Worker,HH,13.6,20,21
887,887,1294,1294,1,Tue,Resident Worker,HH,8.46,22,23
979,979,1114,1185,1,Tue,Resident Worker,OO,83.18,15,16
1029,1029,1294,1294,1,Tue,Long Term Visitor,OO,279.7,9,10
1049,1049,1263,1260,1,Tue,Home Worker,HH,71.05,6,7
1092,1092,1152,1152,1,Tue,Long Term Visitor,OO,35.7,18,19
1148,1148,1103,1235,1,Tue,Long Term Visitor,OO,41.77,9,10
1164,1164,1241,1241,1,Tue,Home Worker,HH,40.73,15,16
1165,1165,1241,1321,1,Tue,Home Worker,HO,21.53,19,20
1166,1166,1321,1241,1,Tue,Home Worker,OH,21.53,20,21
1179,1179,1140,1140,1,Tue,Home Worker,HH,8.96,15,16
1200,1200,1279,1279,1,Tue,Long Term Visitor,OO,41.34,18,19
1222,1222,1317,1318,1,Tue,Home Worker,HO,21.11,16,17
1223,1223,1318,1317,1,Tue,Home Worker,OH,21.11,20,21
1224,1224,1317,1317,1,Tue,Home Worker,HH,88.32,21,22
1225,1225,1317,1317,1,Tue,Home Worker,HH,44.78,22,23
1232,1232,1140,1103,1,Tue,Long Term Visitor,OO,43.71,12,13
1276,1276,1226,1333,1,Tue,Home Worker,HO,22.49,9,10
1277,1277,1333,1226,1,Tue,Home Worker,OH,22.49,11,12
1278,1278,1226,1226,1,Tue,Home Worker,HH,225.1,17,18
1296,1296,1177,1175,1,Tue,Long Term Visitor,OO,35.66,13,14
1337,1337,1192,1145,1,Tue,Home Worker,HO,74.84,12,13
1338,1338,1145,1192,1,Tue,Home Worker,OH,74.84,15,16
1436,1436,1289,1332,1,Tue,Resident Worker,HO,40.93,6,7
1437,1437,1332,1289,1,Tue,Resident Worker,OW,40.93,8,9
1438,1438,1289,1224,1,Tue,Resident Worker,WW,40.93,9,10
1439,1439,1224,1332,1,Tue,Resident Worker,WO,40.93,13,14
1440,1440,1332,1228,1,Tue,Resident Worker,OO,40.93,16,17
1441,1441,1228,1289,1,Tue,Resident Worker,OW,40.93,17,18
1445,1445,1235,1235,1,Tue,Resident Worker,HH,101.99,15,16
1456,1456,1176,1141,1,Tue,Long Term Visitor,OO,87.31,10,11
1457,1457,1141,1141,1,Tue,Long Term Visitor,OO,253.4,11,12
1484,1484,1177,1177,1,Tue,Long Term Visitor,OO,64.14,8,9
1489,1489,1261,1289,1,Tue,Resident Worker,OO,42.81,9,10
1495,1495,1177,1275,1,Tue,Long Term Visitor,OO,38.55,11,12
1506,1506,1128,1128,1,Tue,Home Worker,HH,70.34,6,7
1561,1561,1177,1175,1,Tue,Long Term Visitor,OO,32.52,17,18
1592,1592,1140,1140,1,Tue,Long Term Visitor,OO,118.86,10,11
1595,1595,1259,1259,1,Tue,Home Worker,HH,253.12,5,6
1604,1604,1129,1133,1,Tue,Resident Worker,OH,48.73,19,20
1605,1605,1133,1133,1,Tue,Resident Worker,HH,48.73,19,20
1620,1620,1157,1263,1,Tue,Inbound Commuter,OO,33.38,13,14
1635,1635,1148,1335,1,Tue,Outbound Commuter,HH,27.5,14,15
1636,1636,1335,1148,1,Tue,Outbound Commuter,HH,27.5,20,21
1644,1644,1121,1121,1,Tue,Resident Worker,WW,40.75,20,21
1647,1647,1175,1175,1,Tue,Long Term Visitor,OO,530.21,10,11
1648,1648,1175,1175,1,Tue,Long Term Visitor,OO,350.32,13,14
1737,1737,1264,1149,1,Tue,Home Worker,HO,82.7,13,14
1738,1738,1149,1232,1,Tue,Home Worker,OO,82.7,16,17
1739,1739,1232,1264,1,Tue,Home Worker,OH,82.7,18,19
1740,1740,1272,1211,1,Tue,Resident Worker,HW,15.95,8,9
1741,1741,1211,1272,1,Tue,Resident Worker,WH,15.95,18,19
1746,1746,1294,1294,1,Tue,Long Term Visitor,OO,246.14,16,17
1750,1750,1223,1334,1,Tue,Home Worker,HO,46.87,13,14
1751,1751,1334,1223,1,Tue,Home Worker,OH,46.87,20,21
1757,1757,1289,1262,1,Tue,Resident Worker,OO,69.65,8,9
1758,1758,1262,1226,1,Tue,Resident Worker,OO,69.65,21,22
1762,1762,1215,1215,1,Tue,Home Worker,HH,45.19,6,7
1792,1792,1296,1296,1,Tue,Home Worker,HH,299.71,13,14
1795,1795,1237,1237,1,Tue,Resident Worker,OO,85.95,13,14
1841,1841,1296,1212,1,Tue,Resident Worker,HW,39.18,6,7
1842,1842,1212,1208,1,Tue,Resident Worker,WO,39.18,14,15
1843,1843,1208,1296,1,Tue,Resident Worker,OH,39.18,15,16
1895,1895,1111,1109,1,Tue,Long Term Visitor,OO,40.29,7,8
1914,1914,1197,1197,1,Tue,Home Worker,HH,59.86,9,10
1915,1915,1197,1207,1,Tue,Home Worker,HO,59.86,13,14
1916,1916,1207,1248,1,Tue,Home Worker,OO,59.86,21,22
1917,1917,1248,1238,1,Tue,Home Worker,OO,59.86,22,23
1949,1949,1141,1141,1,Tue,Long Term Visitor,OO,289.82,8,9
1971,1971,1175,1175,1,Tue,Long Term Visitor,OO,503.46,9,10
1972,1972,1175,1294,1,Tue,Long Term Visitor,OO,119.95,17,18
1973,1973,1294,1145,1,Tue,Long Term Visitor,OO,38.31,19,20
1974,1974,1145,1294,1,Tue,Long Term Visitor,OO,38.31,19,20
2032,2032,1276,1323,1,Tue,Resident Worker,OW,39.22,7,8
2033,2033,1248,1276,1,Tue,Resident Worker,WO,39.22,17,18
2043,2043,1314,1154,1,Tue,Home Worker,HO,47.86,12,13
2044,2044,1154,1314,1,Tue,Home Worker,OH,47.86,13,14
2049,2049,1104,1104,1,Tue,Long Term Visitor,OO,293.5,18,19
2083,2083,1129,1295,1,Tue,Resident Worker,HO,39.94,22,23
2084,2084,1295,1129,1,Tue,Resident Worker,OH,39.94,22,23
2125,2125,1108,1108,1,Tue,Home Worker,HH,19.54,12,13
2130,2130,1121,1121,1,Tue,Outbound Commuter,HH,62.23,6,7
2133,2133,1175,1294,1,Tue,Long Term Visitor,OO,70.25,8,9
2134,2134,1294,1175,1,Tue,Long Term Visitor,OO,67.41,13,14
2135,2135,1175,1294,1,Tue,Long Term Visitor,OO,83.27,15,16
2141,2141,1263,1225,1,Tue,Home Worker,HO,64.64,7,8
2197,2197,1119,1154,1,Tue,Home Worker,HO,85.62,12,13
2198,2198,1154,1118,1,Tue,Home Worker,OH,85.62,17,18
2208,2208,1263,1263,1,Tue,Inbound Commuter,OO,80.97,9,10
2209,2209,1263,1157,1,Tue,Inbound Commuter,OO,30.08,10,11
2280,2280,1175,1175,1,Tue,Long Term Visitor,OO,44.27,19,20
2281,2281,1175,1175,1,Tue,Long Term Visitor,OO,132.56,21,22
2314,2314,1314,1264,1,Tue,Resident Worker,HO,42.17,17,18
2315,2315,1264,1314,1,Tue,Resident Worker,OH,42.17,18,19
2351,2351,1109,1109,1,Tue,Long Term Visitor,OO,290.59,10,11
