Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
14,1309,1181,6,Sun,Home Worker,OH,16.06,2,3
15,1212,1235,6,Sun,Home Worker,OH,39.45,0,1
44,1314,1197,6,Sun,Home Worker,OH,59.86,4,5
47,1205,1212,6,Sun,Long Term Visitor,OH,48.74,0,1
79,1109,1179,6,Sun,Home Worker,OH,8.66,1,2
91,1271,1273,6,Sun,Resident Worker,OO,42.51,0,1
137,1175,1177,6,Sun,Long Term Visitor,OO,40.96,0,1
163,1317,1317,6,Sun,Home Worker,HH,24.96,0,1
191,1259,1334,6,Sun,Resident Worker,WH,32.04,1,2
213,1302,1218,6,Sun,Resident Worker,OW,34.51,0,1
214,1218,1315,6,Sun,Resident Worker,WH,34.51,0,1
234,1177,1139,6,Sun,Home Worker,OH,8.43,0,1
251,1140,1141,6,Sun,Long Term Visitor,OO,94.69,0,1
262,1278,1278,6,Sun,Resident Worker,OH,35.1,0,1
311,1114,1192,6,Sun,Home Worker,OH,85.43,0,1
314,1109,1211,6,Sun,Home Worker,OH,30.08,0,1
315,1233,1242,6,Sun,Resident Worker,OO,38.84,0,1
335,1109,1182,6,Sun,Resident Worker,OH,15.22,0,1
355,1121,1132,6,Sun,Resident Worker,WH,71.29,0,1
394,1232,1241,6,Sun,Resident Worker,WO,31.81,0,1
395,1241,1270,6,Sun,Resident Worker,OO,31.81,0,1
396,1270,1313,6,Sun,Resident Worker,OH,31.81,1,2
402,1129,1171,6,Sun,Resident Worker,OH,56.53,0,1
443,1270,1268,6,Sun,Resident Worker,OO,42.05,0,1
468,1109,1224,6,Sun,Home Worker,OH,45.57,0,1
473,1120,1232,6,Sun,Home Worker,OH,40.95,0,1
480,1247,1247,6,Sun,Home Worker,OO,20.19,0,1
481,1247,1218,6,Sun,Home Worker,OH,20.19,1,2
493,1289,1200,6,Sun,Resident Worker,WH,25.24,1,2
497,1175,1140,6,Sun,Long Term Visitor,OO,32.13,0,1
506,1252,1326,6,Sun,Resident Worker,OH,22.62,0,1
507,1326,1326,6,Sun,Resident Worker,HH,22.62,0,1
537,1123,1233,6,Sun,Home Worker,OH,31.31,0,1
564,1109,1298,6,Sun,Home Worker,OH,56.16,1,2
590,1249,1318,6,Sun,Resident Worker,OO,59.36,0,1
596,1130,1298,6,Sun,Resident Worker,OH,53.39,1,2
611,1344,1210,6,Sun,Resident Worker,HH,41.4,0,1
635,1229,1132,6,Sun,Resident Worker,OO,72.04,0,1
661,1220,1220,6,Sun,Resident Worker,HH,25.77,0,1
689,1212,1197,6,Sun,Home Worker,OH,55.4,1,2
694,1103,1139,6,Sun,Resident Worker,OH,6.29,0,1
700,1129,1228,6,Sun,Resident Worker,WH,22.32,1,2
724,1292,1225,6,Sun,Resident Worker,HO,40.42,0,1
725,1225,1223,6,Sun,Resident Worker,OH,40.42,0,1
787,1149,1214,6,Sun,Home Worker,OH,38.58,0,1
812,1294,1191,6,Sun,Resident Worker,OH,43.82,0,1
814,1226,1261,6,Sun,Resident Worker,OO,26.13,0,1
840,1317,1270,6,Sun,Resident Worker,OH,27.84,0,1
