Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
8,8,4005,4005,1,Tue,Short Term Visitor,OW,9584.67,7,8
9,9,4005,4005,1,Tue,Short Term Visitor,WO,13618.56,17,18
16,16,4005,4005,1,Tue,Short Term Visitor,OO,25370.13,8,9
17,17,4005,4005,1,Tue,Short Term Visitor,OO,28671.24,16,17
18,18,4005,4005,1,Tue,Short Term Visitor,HO,22328.46,7,8
19,19,4005,4005,1,Tue,Short Term Visitor,OO,27921.86,9,10
20,20,4005,4005,1,Tue,Short Term Visitor,OO,31262.64,11,12
21,21,4005,4005,1,Tue,Short Term Visitor,OO,29833.68,13,14
22,22,4005,4005,1,Tue,Short Term Visitor,OO,32688.44,15,16
23,23,4005,4005,1,Tue,Short Term Visitor,OH,19949.86,19,20
29,29,4005,4005,1,Tue,Short Term Visitor,OW,2149.93,5,6
30,30,4005,4005,1,Tue,Short Term Visitor,WO,1368.69,7,8
57,57,4005,4005,1,Tue,Short Term Visitor,HO,3840.74,4,5
58,58,4005,4005,1,Tue,Short Term Visitor,OH,1458.93,6,7
59,59,4005,4005,1,Tue,Short Term Visitor,HH,21793.13,9,10
60,60,4005,4005,1,Tue,Short Term Visitor,HH,21736.93,10,11
61,61,4005,4005,1,Tue,Short Term Visitor,HH,20569.68,11,12
62,62,4005,4005,1,Tue,Short Term Visitor,HH,19760.5,12,13
63,63,4005,4005,1,Tue,Short Term Visitor,OO,33176.79,12,13
64,64,4005,4005,1,Tue,Short Term Visitor,OO,30665.27,14,15
65,65,4005,4005,1,Tue,Short Term Visitor,OO,22170.1,19,20
107,107,4005,4005,1,Tue,Long Term Visitor,OO,19158.28,9,10
108,108,4005,4005,1,Tue,Long Term Visitor,OO,20355.11,10,11
109,109,4005,4005,1,Tue,Long Term Visitor,OO,12673.98,14,15
110,110,4005,4005,1,Tue,Long Term Visitor,OO,11274.91,18,19
146,146,4005,4005,1,Tue,Short Term Visitor,OO,29447.24,17,18
153,153,4005,4005,1,Tue,Short Term Visitor,HW,3295.7,4,5
154,154,4005,4005,1,Tue,Short Term Visitor,WH,18331.7,17,18
155,155,4005,4005,1,Tue,Short Term Visitor,HH,19438.46,19,20
156,156,4005,4005,1,Tue,Short Term Visitor,HH,14044.18,21,22
157,157,4005,4005,1,Tue,Short Term Visitor,HO,1281.55,22,23
158,158,4005,4005,1,Tue,Short Term Visitor,OH,1242.4,23,24
161,161,4005,4005,1,Tue,Outbound Commuter,WW,618.83,10,11
162,162,4005,4005,1,Tue,Outbound Commuter,WW,496.72,12,13
163,163,4005,4005,1,Tue,Outbound Commuter,WO,276.31,13,14
164,164,4005,4005,1,Tue,Outbound Commuter,OW,334.37,14,15
165,165,4005,4005,1,Tue,Outbound Commuter,WW,388.85,17,18
166,166,4005,4005,1,Tue,Outbound Commuter,WO,274.35,18,19
174,174,4005,4005,1,Tue,Long Term Visitor,OO,13028.97,16,17
200,200,4005,4005,1,Tue,Short Term Visitor,OO,15511.2,6,7
208,208,4005,4005,1,Tue,Short Term Visitor,OO,25162.62,18,19
209,209,4005,4005,1,Tue,Short Term Visitor,OO,15157.69,20,21
210,210,4005,4005,1,Tue,Long Term Visitor,OO,17072.99,11,12
224,224,4005,4005,1,Tue,Short Term Visitor,OH,9676.36,11,12
240,240,4005,4005,1,Tue,Short Term Visitor,OH,800.33,5,6
256,256,4005,4005,1,Tue,Short Term Visitor,OO,8164.23,5,6
261,261,4005,4005,1,Tue,Short Term Visitor,OH,15916.45,21,22
263,263,4005,4005,1,Tue,Long Term Visitor,OO,10445.11,7,8
279,279,4005,4005,1,Tue,Inbound Commuter,HO,431.16,8,9
286,286,4005,4005,1,Tue,Short Term Visitor,WO,9110.35,14,15
287,287,4005,4005,1,Tue,Short Term Visitor,OO,30376.42,10,11
327,327,4005,4005,1,Tue,Short Term Visitor,HO,22272.4,6,7
328,328,4005,4005,1,Tue,Short Term Visitor,OH,15354.81,14,15
329,329,4005,4005,1,Tue,Short Term Visitor,HH,16689.56,20,21
337,337,4005,4005,1,Tue,Short Term Visitor,HW,16860.93,8,9
338,338,4005,4005,1,Tue,Short Term Visitor,WO,16578.71,16,17
347,347,4005,4005,1,Tue,Short Term Visitor,WH,17448.9,16,17
353,353,4005,4005,1,Tue,Short Term Visitor,HW,32289.99,7,8
354,354,4005,4005,1,Tue,Short Term Visitor,WW,6413.85,10,11
355,355,4005,4005,1,Tue,Short Term Visitor,WW,8539.5,11,12
356,356,4005,4005,1,Tue,Short Term Visitor,WH,9295.93,14,15
372,372,4005,4005,1,Tue,Short Term Visitor,OH,19581.17,17,18
374,374,4005,4005,1,Tue,Short Term Visitor,HO,12415.55,16,17
375,375,4005,4005,1,Tue,Short Term Visitor,OW,1740.37,18,19
376,376,4005,4005,1,Tue,Short Term Visitor,WO,3651.2,19,20
385,385,4005,4005,1,Tue,Short Term Visitor,HH,21989.29,16,17
391,391,4005,4005,1,Tue,Long Term Visitor,OO,14976.38,13,14
395,395,4005,4005,1,Tue,Short Term Visitor,WO,12851.29,15,16
396,396,4005,4005,1,Tue,Short Term Visitor,OH,17787.83,18,19
423,423,4005,4005,1,Tue,Short Term Visitor,HW,28898.51,6,7
