Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
1,4005,4005,7,Mon,Short Term Visitor,WH,263.59,4,5
7,4005,4005,7,Mon,Short Term Visitor,OH,2776.25,0,1
11,4005,4005,7,Mon,Long Term Visitor,OO,322.04,0,1
12,4005,4005,7,Mon,Short Term Visitor,OO,773.77,0,1
30,4005,4005,7,Mon,Short Term Visitor,OH,870.74,4,5
35,4005,4005,7,Mon,Short Term Visitor,WH,1589.3,0,1
46,4005,4005,7,Mon,Short Term Visitor,OH,1038.25,2,3
48,4005,4005,7,Mon,Short Term Visitor,WH,183.78,2,3
54,4005,4005,7,Mon,Short Term Visitor,OH,1523.11,1,2
82,4005,4005,7,Mon,Short Term Visitor,OH,933.93,3,4
101,4005,4005,7,Mon,Short Term Visitor,HH,2859.2,0,1
117,4005,4005,7,Mon,Inbound Commuter,OH,240.36,0,1
195,4005,4005,7,Mon,Inbound Commuter,OO,26.2,0,1
245,4005,4005,7,Mon,Short Term Visitor,HO,391.38,0,1
259,4005,4005,7,Mon,Short Term Visitor,OW,55.11,0,1
260,4005,4005,7,Mon,Short Term Visitor,WH,340.91,1,2
339,4005,4005,7,Mon,Inbound Commuter,HH,36.54,0,1
419,4005,4005,7,Mon,Short Term Visitor,WH,216.16,3,4
501,4005,4005,7,Mon,Inbound Commuter,OH,135.07,4,5
606,4005,4005,7,Mon,Resident Worker,OO,120.43,0,1
736,4005,4005,7,Mon,Short Term Visitor,WO,54.96,0,1
903,4005,4005,7,Mon,Inbound Commuter,HO,33.64,0,1
914,4005,4005,7,Mon,Inbound Commuter,OH,68.78,1,2
1180,4005,4005,7,Mon,Long Term Visitor,HH,24.33,0,1
1229,4005,4005,7,Mon,Short Term Visitor,WW,59.46,0,1
1261,4005,4005,7,Mon,Short Term Visitor,HW,110.92,0,1
1327,4005,4005,7,Mon,Long Term Visitor,OH,21.19,1,2
1926,4005,4005,7,Mon,Short Term Visitor,OW,8609.93,7,8
1927,4005,4005,7,Mon,Short Term Visitor,WO,13562.58,17,18
1940,4005,4005,7,Mon,Short Term Visitor,OO,23736.42,8,9
1941,4005,4005,7,Mon,Short Term Visitor,OO,26850.1,12,13
1942,4005,4005,7,Mon,Short Term Visitor,OO,22714.55,18,19
1943,4005,4005,7,Mon,Short Term Visitor,HH,21594.45,8,9
1944,4005,4005,7,Mon,Short Term Visitor,HH,19064.84,12,13
1945,4005,4005,7,Mon,Short Term Visitor,HO,12533.36,14,15
1946,4005,4005,7,Mon,Short Term Visitor,OH,16062.53,15,16
1947,4005,4005,7,Mon,Short Term Visitor,HH,26194.53,17,18
1948,4005,4005,7,Mon,Short Term Visitor,HO,3202.19,20,21
1949,4005,4005,7,Mon,Short Term Visitor,OH,14013.54,21,22
1950,4005,4005,7,Mon,Short Term Visitor,HH,15109.88,21,22
1951,4005,4005,7,Mon,Short Term Visitor,HH,8542.59,22,23
1992,4005,4005,7,Mon,Short Term Visitor,HH,19777.5,11,12
1993,4005,4005,7,Mon,Short Term Visitor,HW,12815.41,5,6
1994,4005,4005,7,Mon,Short Term Visitor,WO,3514.69,9,10
1995,4005,4005,7,Mon,Short Term Visitor,OO,15154.29,6,7
1996,4005,4005,7,Mon,Short Term Visitor,OO,24208.3,9,10
1997,4005,4005,7,Mon,Short Term Visitor,OO,27540.05,14,15
1998,4005,4005,7,Mon,Short Term Visitor,OO,29781.56,15,16
2021,4005,4005,7,Mon,Short Term Visitor,HH,20991.1,9,10
2022,4005,4005,7,Mon,Short Term Visitor,HH,20411.8,19,20
2039,4005,4005,7,Mon,Short Term Visitor,OO,29040.98,17,18
2043,4005,4005,7,Mon,Inbound Commuter,HH,1001.65,18,19
2074,4005,4005,7,Mon,Short Term Visitor,OW,4468.57,11,12
2075,4005,4005,7,Mon,Short Term Visitor,WW,7697.03,12,13
2076,4005,4005,7,Mon,Short Term Visitor,WO,13150.87,16,17
2077,4005,4005,7,Mon,Short Term Visitor,OO,13591.15,20,21
2090,4005,4005,7,Mon,Short Term Visitor,HW,7949.59,10,11
2091,4005,4005,7,Mon,Short Term Visitor,WW,5501.15,15,16
2092,4005,4005,7,Mon,Short Term Visitor,WH,8567.82,18,19
2093,4005,4005,7,Mon,Short Term Visitor,HH,17116.7,20,21
2094,4005,4005,7,Mon,Short Term Visitor,HO,1001.56,22,23
2095,4005,4005,7,Mon,Short Term Visitor,OH,8585.7,22,23
2100,4005,4005,7,Mon,Outbound Commuter,WW,419.98,14,15
2101,4005,4005,7,Mon,Outbound Commuter,WW,451.61,15,16
2102,4005,4005,7,Mon,Outbound Commuter,WO,464.3,16,17
2103,4005,4005,7,Mon,Outbound Commuter,OO,247.97,17,18
2105,4005,4005,7,Mon,Short Term Visitor,HH,22988.97,6,7
2106,4005,4005,7,Mon,Short Term Visitor,HW,4137.0,12,13
2107,4005,4005,7,Mon,Short Term Visitor,WH,13135.41,15,16
2121,4005,4005,7,Mon,Long Term Visitor,OO,10080.88,12,13
2127,4005,4005,7,Mon,Short Term Visitor,OO,28166.1,11,12
2133,4005,4005,7,Mon,Short Term Visitor,HH,19697.86,13,14
2134,4005,4005,7,Mon,Long Term Visitor,OO,10461.45,8,9
2135,4005,4005,7,Mon,Long Term Visitor,OO,13507.28,9,10
2136,4005,4005,7,Mon,Long Term Visitor,OO,7545.79,18,19
2148,4005,4005,7,Mon,Short Term Visitor,OH,13382.11,14,15
2149,4005,4005,7,Mon,Short Term Visitor,HH,22684.75,16,17
2150,4005,4005,7,Mon,Short Term Visitor,HO,10693.88,16,17
2151,4005,4005,7,Mon,Short Term Visitor,OH,15599.58,18,19
2156,4005,4005,7,Mon,Long Term Visitor,OO,13106.55,10,11
2172,4005,4005,7,Mon,Short Term Visitor,OO,6398.09,5,6
2193,4005,4005,7,Mon,Short Term Visitor,OO,27111.89,16,17
2216,4005,4005,7,Mon,Inbound Commuter,OH,702.69,17,18
2230,4005,4005,7,Mon,Short Term Visitor,WW,5846.45,13,14
2231,4005,4005,7,Mon,Short Term Visitor,WO,6837.23,18,19
2232,4005,4005,7,Mon,Short Term Visitor,OO,25679.7,13,14
2269,4005,4005,7,Mon,Short Term Visitor,HW,30870.66,7,8
2270,4005,4005,7,Mon,Short Term Visitor,WH,17202.97,17,18
2280,4005,4005,7,Mon,Short Term Visitor,HW,15928.8,8,9
2281,4005,4005,7,Mon,Short Term Visitor,HO,16434.69,8,9
2282,4005,4005,7,Mon,Short Term Visitor,OO,27516.84,10,11
2283,4005,4005,7,Mon,Short Term Visitor,OH,16934.48,16,17
2300,4005,4005,7,Mon,Short Term Visitor,HW,5803.51,11,12
2316,4005,4005,7,Mon,Short Term Visitor,HH,20873.86,10,11
2317,4005,4005,7,Mon,Short Term Visitor,HH,21173.55,15,16
2323,4005,4005,7,Mon,Short Term Visitor,HW,9917.16,9,10
2324,4005,4005,7,Mon,Short Term Visitor,WH,9759.45,14,15
2346,4005,4005,7,Mon,Short Term Visitor,WO,8657.89,14,15
2347,4005,4005,7,Mon,Short Term Visitor,OH,16880.31,17,18
2359,4005,4005,7,Mon,Short Term Visitor,HO,19255.93,7,8
2384,4005,4005,7,Mon,Long Term Visitor,OO,6264.38,7,8
2469,4005,4005,7,Mon,Short Term Visitor,HO,10939.56,12,13
2470,4005,4005,7,Mon,Short Term Visitor,OH,11381.52,12,13
2474,4005,4005,7,Mon,Long Term Visitor,OO,13318.86,11,12
2489,4005,4005,7,Mon,Short Term Visitor,OO,20148.45,19,20
