Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
86,86,110,221,1,Tue,Home Worker,HO,50.54,14,15
87,87,221,110,1,Tue,Home Worker,OH,50.54,16,17
114,114,90,90,1,Tue,Home Worker,HH,48.9,9,10
115,115,90,124,1,Tue,Home Worker,HO,48.9,13,14
116,116,124,90,1,Tue,Home Worker,OH,48.9,16,17
117,117,90,90,1,Tue,Home Worker,HH,48.9,20,21
152,152,78,229,1,Tue,Home Worker,OH,35.69,21,22
228,228,39,39,1,Tue,Resident Worker,HH,42.08,8,9
229,229,39,39,1,Tue,Resident Worker,HH,42.08,15,16
239,239,86,165,1,Tue,Short Term Visitor,OO,46.68,20,21
241,241,26,26,1,Tue,Home Worker,HH,79.99,10,11
242,242,26,26,1,Tue,Home Worker,HH,79.99,14,15
274,274,180,136,1,Tue,Resident Worker,WW,40.32,12,13
275,275,180,148,1,Tue,Resident Worker,WO,40.32,17,18
309,309,110,33,1,Tue,Resident Worker,HW,56.83,7,8
310,310,33,110,1,Tue,Resident Worker,WH,56.83,15,16
331,331,190,105,1,Tue,Resident Worker,OW,55.57,8,9
339,339,209,167,1,Tue,Resident Worker,OO,32.4,10,11
343,343,148,155,1,Tue,Resident Worker,OH,26.11,15,16
389,389,112,75,1,Tue,Home Worker,HO,34.03,8,9
390,390,75,112,1,Tue,Home Worker,OH,34.03,15,16
549,549,95,99,1,Tue,Home Worker,HO,45.0,5,6
550,550,99,99,1,Tue,Home Worker,OO,85.83,7,8
551,551,99,95,1,Tue,Home Worker,OH,45.0,12,13
553,553,206,122,1,Tue,Resident Worker,OO,33.71,19,20
606,606,62,40,1,Tue,Home Worker,HO,33.37,8,9
607,607,40,62,1,Tue,Home Worker,OH,33.37,10,11
636,636,195,195,1,Tue,Resident Worker,HH,55.34,15,16
664,664,195,143,1,Tue,Resident Worker,OO,58.68,10,11
665,665,143,195,1,Tue,Resident Worker,OO,58.68,12,13
708,708,147,127,1,Tue,Home Worker,OO,30.57,11,12
709,709,127,64,1,Tue,Home Worker,OO,30.57,13,14
710,710,64,67,1,Tue,Home Worker,OO,30.57,13,14
719,719,129,129,1,Tue,Resident Worker,HH,47.0,21,22
770,770,183,141,1,Tue,Home Worker,HO,29.66,15,16
771,771,141,183,1,Tue,Home Worker,OH,29.66,21,22
776,776,109,109,1,Tue,Long Term Visitor,OO,26.24,16,17
777,777,109,124,1,Tue,Long Term Visitor,OO,26.24,22,23
806,806,84,146,1,Tue,Resident Worker,HO,53.8,7,8
807,807,146,124,1,Tue,Resident Worker,OW,53.8,9,10
808,808,124,146,1,Tue,Resident Worker,WO,53.8,17,18
809,809,146,84,1,Tue,Resident Worker,OH,53.8,19,20
810,810,208,143,1,Tue,Resident Worker,HO,15.54,10,11
845,845,110,51,1,Tue,Home Worker,HO,57.37,8,9
846,846,51,110,1,Tue,Home Worker,OH,57.37,13,14
847,847,110,99,1,Tue,Home Worker,HH,57.37,19,20
957,957,127,148,1,Tue,Home Worker,OO,40.63,14,15
994,994,91,91,1,Tue,Resident Worker,OO,43.5,19,20
1062,1062,86,86,1,Tue,Home Worker,HH,120.96,7,8
1063,1063,215,214,1,Tue,Resident Worker,HH,47.61,15,16
1064,1064,214,214,1,Tue,Resident Worker,HH,47.61,17,18
1084,1084,120,163,1,Tue,Home Worker,HO,35.8,15,16
