Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
3,201,90,14,Mon,Home Worker,OH,48.9,0,1
26,194,194,14,Mon,Home Worker,HH,55.67,0,1
54,78,59,14,Mon,Home Worker,OH,56.64,2,3
208,123,118,14,Mon,Resident Worker,HW,36.29,0,1
209,118,149,14,Mon,Resident Worker,WH,36.29,1,2
221,78,221,14,Mon,Home Worker,OH,35.69,3,4
236,70,70,14,Mon,Resident Worker,HH,54.2,0,1
239,97,112,14,Mon,Resident Worker,OH,34.43,0,1
255,54,71,14,Mon,Resident Worker,OH,30.21,0,1
256,37,159,14,Mon,Resident Worker,OH,76.08,4,5
274,120,137,14,Mon,Home Worker,OH,41.54,0,1
281,129,109,14,Mon,Home Worker,OH,48.61,0,1
297,105,74,14,Mon,Home Worker,OH,41.9,0,1
306,227,227,14,Mon,Home Worker,HH,20.57,0,1
325,211,192,14,Mon,Home Worker,OH,43.7,1,2
349,70,125,14,Mon,Home Worker,OH,47.61,0,1
370,156,133,14,Mon,Resident Worker,OH,60.71,2,3
374,229,197,14,Mon,Resident Worker,WH,21.36,4,5
387,8,53,14,Mon,Resident Worker,OH,72.24,4,5
394,110,112,14,Mon,Home Worker,OH,35.85,0,1
410,209,213,14,Mon,Home Worker,OH,28.31,0,1
434,13,13,14,Mon,Long Term Visitor,OO,68.28,0,1
438,133,125,14,Mon,Resident Worker,OO,56.07,0,1
440,82,154,14,Mon,Resident Worker,WH,44.09,0,1
444,229,114,14,Mon,Resident Worker,OH,35.78,0,1
447,48,114,14,Mon,Resident Worker,OH,26.85,1,2
448,177,194,14,Mon,Resident Worker,OH,47.01,0,1
489,137,79,14,Mon,Resident Worker,OH,32.29,1,2
509,215,213,14,Mon,Home Worker,OH,27.0,0,1
514,86,120,14,Mon,Home Worker,OH,24.25,3,4
577,12,111,14,Mon,Outbound Commuter,OH,33.01,3,4
580,209,212,14,Mon,Resident Worker,OH,37.67,1,2
610,76,117,14,Mon,Home Worker,OH,33.09,0,1
646,64,229,14,Mon,Resident Worker,WH,29.07,0,1
676,197,36,14,Mon,Resident Worker,WH,42.23,2,3
739,96,140,14,Mon,Home Worker,OH,31.41,0,1
762,102,177,14,Mon,Resident Worker,WH,41.7,4,5
765,33,30,14,Mon,Home Worker,OH,29.88,2,3
773,218,111,14,Mon,Resident Worker,OH,50.53,4,5
784,41,139,14,Mon,Home Worker,OH,39.95,2,3
798,209,197,14,Mon,Home Worker,OH,33.72,0,1
808,177,166,14,Mon,Resident Worker,WH,41.14,0,1
816,218,214,14,Mon,Home Worker,OH,30.25,3,4
847,230,115,14,Mon,Home Worker,OH,38.65,1,2
854,192,208,14,Mon,Resident Worker,HW,46.36,0,1
855,208,192,14,Mon,Resident Worker,WH,46.36,3,4
884,220,218,14,Mon,Resident Worker,OH,35.16,2,3
917,140,193,14,Mon,Home Worker,OH,18.4,0,1
925,93,63,14,Mon,Resident Worker,WH,28.0,0,1
947,124,89,14,Mon,Resident Worker,WH,26.93,1,2
956,135,198,14,Mon,Resident Worker,WH,20.53,0,1
988,145,60,14,Mon,Resident Worker,WH,54.63,4,5
1010,90,119,14,Mon,Resident Worker,OH,38.4,2,3
1011,116,112,14,Mon,Home Worker,OH,30.33,0,1
1022,199,136,14,Mon,Home Worker,OH,29.72,2,3
1028,87,118,14,Mon,Resident Worker,WH,43.52,0,1
1037,207,197,14,Mon,Home Worker,OH,31.81,1,2
1057,103,137,14,Mon,Resident Worker,OH,50.14,3,4
1058,187,195,14,Mon,Resident Worker,OH,46.79,1,2
1071,156,156,14,Mon,Resident Worker,HH,32.29,0,1
1077,45,48,14,Mon,Resident Worker,OH,44.47,0,1
1087,69,99,14,Mon,Home Worker,OH,33.68,2,3
1088,125,86,14,Mon,Resident Worker,OH,43.16,0,1
1098,124,138,14,Mon,Home Worker,OH,38.74,0,1
1105,12,12,14,Mon,Home Worker,HH,38.69,0,1
1107,48,167,14,Mon,Home Worker,OH,38.86,1,2
1112,172,162,14,Mon,Resident Worker,WH,37.91,0,1
