Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
4,4,4004,4004,1,Tue,Long Term Visitor,OO,5056.47,8,9
5,5,4004,4004,1,Tue,Long Term Visitor,OO,5979.4,9,10
199,199,4004,4004,1,Tue,Short Term Visitor,OO,6204.3,12,13
203,203,4004,4004,1,Tue,Short Term Visitor,HH,3341.3,17,18
267,267,4004,4004,1,Tue,Short Term Visitor,HW,34.46,21,22
288,288,4004,4004,1,Tue,Short Term Visitor,HH,4298.09,8,9
378,378,4004,4004,1,Tue,Long Term Visitor,OO,2215.82,7,8
379,379,4004,4004,1,Tue,Long Term Visitor,OO,2383.97,19,20
420,420,4004,4004,1,Tue,Long Term Visitor,OO,4070.55,16,17
421,421,4004,4004,1,Tue,Long Term Visitor,OO,1753.89,21,22
422,422,4004,4004,1,Tue,Long Term Visitor,OO,885.7,22,23
503,503,4004,4004,1,Tue,Short Term Visitor,HH,4215.16,7,8
504,504,4004,4004,1,Tue,Short Term Visitor,HH,3780.65,9,10
505,505,4004,4004,1,Tue,Short Term Visitor,HH,3783.5,11,12
510,510,4004,4004,1,Tue,Short Term Visitor,HH,2439.04,18,19
622,622,4004,4004,1,Tue,Short Term Visitor,HH,4387.96,10,11
624,624,4004,4004,1,Tue,Short Term Visitor,WO,596.92,11,12
625,625,4004,4004,1,Tue,Short Term Visitor,OW,303.2,14,15
646,646,4004,4004,1,Tue,Inbound Commuter,HO,111.57,6,7
647,647,4004,4004,1,Tue,Inbound Commuter,OO,183.91,9,10
648,648,4004,4004,1,Tue,Inbound Commuter,OO,105.41,10,11
649,649,4004,4004,1,Tue,Inbound Commuter,OO,201.36,11,12
650,650,4004,4004,1,Tue,Inbound Commuter,OO,206.42,12,13
651,651,4004,4004,1,Tue,Inbound Commuter,OO,282.23,13,14
652,652,4004,4004,1,Tue,Inbound Commuter,OO,114.76,14,15
653,653,4004,4004,1,Tue,Inbound Commuter,OO,61.81,15,16
654,654,4004,4004,1,Tue,Inbound Commuter,OH,31.57,16,17
794,794,4004,4004,1,Tue,Short Term Visitor,HH,2719.06,14,15
848,848,4004,4004,1,Tue,Short Term Visitor,OO,7663.31,11,12
881,881,4004,4004,1,Tue,Long Term Visitor,OO,5590.11,12,13
896,896,4004,4004,1,Tue,Short Term Visitor,HO,631.32,17,18
897,897,4004,4004,1,Tue,Short Term Visitor,OO,3202.02,18,19
898,898,4004,4004,1,Tue,Short Term Visitor,OH,1604.78,19,20
918,918,4004,4004,1,Tue,Long Term Visitor,OO,4235.11,17,18
919,919,4004,4004,1,Tue,Long Term Visitor,OO,4261.6,18,19
1011,1011,4004,4004,1,Tue,Short Term Visitor,OO,4710.08,14,15
1028,1028,4004,4004,1,Tue,Short Term Visitor,OO,8037.75,9,10
1170,1170,4004,4004,1,Tue,Inbound Commuter,OH,60.15,17,18
1345,1345,4004,4004,1,Tue,Short Term Visitor,HO,1403.38,10,11
1346,1346,4004,4004,1,Tue,Short Term Visitor,OH,1744.57,16,17
1367,1367,4004,4004,1,Tue,Short Term Visitor,HH,1120.46,22,23
1462,1462,4004,4004,1,Tue,Short Term Visitor,HW,1933.62,7,8
1475,1475,4004,4004,1,Tue,Short Term Visitor,HH,3246.19,6,7
1477,1477,4004,4004,1,Tue,Long Term Visitor,OO,4244.85,15,16
1567,1567,4004,4004,1,Tue,Short Term Visitor,OO,7530.95,10,11
1608,1608,4004,4004,1,Tue,Long Term Visitor,OO,4831.23,14,15
1836,1836,4004,4004,1,Tue,Short Term Visitor,WO,227.89,9,10
1837,1837,4004,4004,1,Tue,Short Term Visitor,OW,607.81,9,10
1838,1838,4004,4004,1,Tue,Short Term Visitor,WW,1095.25,10,11
1839,1839,4004,4004,1,Tue,Short Term Visitor,WW,871.97,13,14
1840,1840,4004,4004,1,Tue,Short Term Visitor,WH,856.53,16,17
1957,1957,4004,4004,1,Tue,Short Term Visitor,WH,781.44,15,16
2000,2000,4004,4004,1,Tue,Short Term Visitor,HH,2012.65,20,21
2304,2304,4004,4004,1,Tue,Long Term Visitor,OO,897.14,6,7
2335,2335,4004,4004,1,Tue,Short Term Visitor,OO,5999.52,13,14
2674,2674,4004,4004,1,Tue,Short Term Visitor,OO,4460.1,17,18
2699,2699,4004,4004,1,Tue,Short Term Visitor,HO,1714.02,8,9
2700,2700,4004,4004,1,Tue,Short Term Visitor,OW,1067.0,8,9
2987,2987,4004,4004,1,Tue,Short Term Visitor,HW,1102.62,8,9
2988,2988,4004,4004,1,Tue,Short Term Visitor,WH,35.76,9,10
3001,3001,4004,4004,1,Tue,Short Term Visitor,OO,5319.59,16,17
3003,3003,4004,4004,1,Tue,Long Term Visitor,OO,7323.12,10,11
3004,3004,4004,4004,1,Tue,Long Term Visitor,OO,6260.23,11,12
3005,3005,4004,4004,1,Tue,Long Term Visitor,OO,5454.96,13,14
3008,3008,4004,4004,1,Tue,Long Term Visitor,OO,243.97,23,24
