Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
152,4004,4004,10,Thu,Short Term Visitor,OH,53.91,4,5
248,4004,4004,10,Thu,Short Term Visitor,HO,40.38,0,1
249,4004,4004,10,Thu,Short Term Visitor,OH,238.47,0,1
304,4004,4004,10,Thu,Short Term Visitor,OH,178.34,1,2
316,4004,4004,10,Thu,Short Term Visitor,OH,41.03,2,3
500,4004,4004,10,Thu,Inbound Commuter,HH,30.23,0,1
533,4004,4004,10,Thu,Short Term Visitor,OO,152.53,0,1
564,4004,4004,10,Thu,Short Term Visitor,WH,90.51,0,1
732,4004,4004,10,Thu,Short Term Visitor,WH,56.55,1,2
825,4004,4004,10,Thu,Short Term Visitor,HH,337.06,0,1
1018,4004,4004,10,Thu,Inbound Commuter,WH,19.16,2,3
1196,4004,4004,10,Thu,Short Term Visitor,OH,58.6,3,4
1253,4004,4004,10,Thu,Long Term Visitor,HH,46.26,0,1
1396,4004,4004,10,Thu,Long Term Visitor,OH,37.38,4,5
1528,4004,4004,10,Thu,Short Term Visitor,WH,76.76,3,4
1619,4004,4004,10,Thu,Resident Worker,OO,27.21,0,1
1630,4004,4004,10,Thu,Short Term Visitor,WH,28.13,2,3
1660,4004,4004,10,Thu,Inbound Commuter,OH,19.63,3,4
1665,4004,4004,10,Thu,Long Term Visitor,OO,65.98,0,1
1782,4004,4004,10,Thu,Short Term Visitor,HW,17.95,0,1
1859,4004,4004,10,Thu,Inbound Commuter,OO,74.25,0,1
1860,4004,4004,10,Thu,Inbound Commuter,OH,37.12,1,2
2105,4004,4004,10,Thu,Short Term Visitor,OO,2191.82,21,22
2213,4004,4004,10,Thu,Short Term Visitor,OO,5325.79,16,17
2236,4004,4004,10,Thu,Long Term Visitor,OO,4621.23,13,14
2290,4004,4004,10,Thu,Short Term Visitor,HO,1515.91,6,7
2291,4004,4004,10,Thu,Short Term Visitor,OH,485.38,9,10
2292,4004,4004,10,Thu,Short Term Visitor,HH,3031.62,18,19
2363,4004,4004,10,Thu,Short Term Visitor,HW,1553.82,6,7
2364,4004,4004,10,Thu,Short Term Visitor,WW,203.63,7,8
2373,4004,4004,10,Thu,Short Term Visitor,OO,6287.86,9,10
2396,4004,4004,10,Thu,Long Term Visitor,OO,6538.81,10,11
2397,4004,4004,10,Thu,Long Term Visitor,OO,4675.27,12,13
2398,4004,4004,10,Thu,Long Term Visitor,OO,4672.07,16,17
2424,4004,4004,10,Thu,Long Term Visitor,OO,3074.89,19,20
2425,4004,4004,10,Thu,Short Term Visitor,WO,805.22,17,18
2461,4004,4004,10,Thu,Short Term Visitor,OO,6227.5,14,15
2462,4004,4004,10,Thu,Short Term Visitor,OH,1326.2,18,19
2597,4004,4004,10,Thu,Short Term Visitor,HH,3380.88,6,7
2598,4004,4004,10,Thu,Short Term Visitor,HH,3338.84,10,11
2599,4004,4004,10,Thu,Short Term Visitor,HH,2759.51,14,15
2600,4004,4004,10,Thu,Short Term Visitor,HH,3195.18,16,17
2601,4004,4004,10,Thu,Short Term Visitor,HH,1853.42,19,20
2602,4004,4004,10,Thu,Short Term Visitor,HH,1417.48,21,22
2613,4004,4004,10,Thu,Short Term Visitor,HO,705.8,5,6
2614,4004,4004,10,Thu,Short Term Visitor,OH,317.14,8,9
2615,4004,4004,10,Thu,Short Term Visitor,HH,2587.74,13,14
2674,4004,4004,10,Thu,Short Term Visitor,OO,7992.61,11,12
2684,4004,4004,10,Thu,Short Term Visitor,HH,3886.1,11,12
2892,4004,4004,10,Thu,Long Term Visitor,OO,4269.19,15,16
2945,4004,4004,10,Thu,Short Term Visitor,OO,4696.87,8,9
2946,4004,4004,10,Thu,Short Term Visitor,OO,5120.08,18,19
2982,4004,4004,10,Thu,Short Term Visitor,HH,2236.94,5,6
3125,4004,4004,10,Thu,Short Term Visitor,HH,3947.42,9,10
3296,4004,4004,10,Thu,Inbound Commuter,OO,117.4,13,14
3461,4004,4004,10,Thu,Short Term Visitor,OO,6054.67,17,18
3478,4004,4004,10,Thu,Short Term Visitor,HH,4094.11,8,9
3580,4004,4004,10,Thu,Long Term Visitor,OO,3392.64,18,19
3597,4004,4004,10,Thu,Short Term Visitor,HH,3131.85,12,13
3599,4004,4004,10,Thu,Long Term Visitor,OO,4055.94,14,15
3617,4004,4004,10,Thu,Short Term Visitor,WO,374.69,9,10
3620,4004,4004,10,Thu,Short Term Visitor,OO,6826.85,12,13
3801,4004,4004,10,Thu,Home Worker,OO,110.46,9,10
3802,4004,4004,10,Thu,Home Worker,OO,108.25,10,11
3803,4004,4004,10,Thu,Home Worker,OO,165.77,11,12
3809,4004,4004,10,Thu,Long Term Visitor,OO,6367.06,9,10
4013,4004,4004,10,Thu,Short Term Visitor,HW,2456.56,7,8
4014,4004,4004,10,Thu,Short Term Visitor,WW,718.46,9,10
4015,4004,4004,10,Thu,Short Term Visitor,WO,598.95,10,11
4016,4004,4004,10,Thu,Short Term Visitor,OH,1378.0,14,15
4144,4004,4004,10,Thu,Short Term Visitor,HH,3209.85,17,18
4352,4004,4004,10,Thu,Long Term Visitor,OO,4290.96,17,18
4355,4004,4004,10,Thu,Outbound Commuter,OO,113.82,6,7
4356,4004,4004,10,Thu,Outbound Commuter,OW,69.58,11,12
4869,4004,4004,10,Thu,Short Term Visitor,HW,1326.19,8,9
4870,4004,4004,10,Thu,Short Term Visitor,WW,583.12,16,17
4871,4004,4004,10,Thu,Short Term Visitor,WH,345.96,21,22
4872,4004,4004,10,Thu,Short Term Visitor,HH,1136.71,22,23
5144,4004,4004,10,Thu,Short Term Visitor,WH,817.44,15,16
5272,4004,4004,10,Thu,Long Term Visitor,OO,6496.4,11,12
5414,4004,4004,10,Thu,Short Term Visitor,OO,3516.49,19,20
5415,4004,4004,10,Thu,Short Term Visitor,WO,944.11,15,16
5416,4004,4004,10,Thu,Short Term Visitor,OO,3014.17,20,21
5417,4004,4004,10,Thu,Short Term Visitor,OO,1095.29,22,23
5418,4004,4004,10,Thu,Short Term Visitor,OH,479.62,22,23
5594,4004,4004,10,Thu,Short Term Visitor,WH,916.77,16,17
5752,4004,4004,10,Thu,Short Term Visitor,OH,1039.7,10,11
5765,4004,4004,10,Thu,Resident Worker,OO,185.7,9,10
5766,4004,4004,10,Thu,Resident Worker,OO,127.8,17,18
6025,4004,4004,10,Thu,Long Term Visitor,OO,1134.68,22,23
6031,4004,4004,10,Thu,Short Term Visitor,OW,376.91,13,14
6032,4004,4004,10,Thu,Short Term Visitor,WW,589.02,15,16
6294,4004,4004,10,Thu,Short Term Visitor,OO,7217.43,10,11
6300,4004,4004,10,Thu,Short Term Visitor,OO,685.29,5,6
6301,4004,4004,10,Thu,Short Term Visitor,OO,1423.97,6,7
6404,4004,4004,10,Thu,Short Term Visitor,OO,5659.01,13,14
6994,4004,4004,10,Thu,Short Term Visitor,OO,3350.05,7,8
6995,4004,4004,10,Thu,Short Term Visitor,OW,973.05,8,9
6996,4004,4004,10,Thu,Short Term Visitor,WO,252.47,20,21
7458,4004,4004,10,Thu,Short Term Visitor,OH,1573.64,19,20
7467,4004,4004,10,Thu,Short Term Visitor,WH,370.96,12,13
7513,4004,4004,10,Thu,Short Term Visitor,HH,3888.62,7,8
7545,4004,4004,10,Thu,Short Term Visitor,WW,1019.43,11,12
7546,4004,4004,10,Thu,Short Term Visitor,WO,256.07,19,20
7932,4004,4004,10,Thu,Short Term Visitor,WH,423.12,13,14
8100,4004,4004,10,Thu,Short Term Visitor,OO,5499.19,15,16
8712,4004,4004,10,Thu,Short Term Visitor,HH,2044.05,20,21
8746,4004,4004,10,Thu,Inbound Commuter,HH,56.66,4,5
8847,4004,4004,10,Thu,Long Term Visitor,HH,134.19,6,7
8848,4004,4004,10,Thu,Long Term Visitor,HO,63.08,21,22
8994,4004,4004,10,Thu,Short Term Visitor,HH,2609.81,15,16
9111,4004,4004,10,Thu,Long Term Visitor,OO,4462.47,8,9
9168,4004,4004,10,Thu,Short Term Visitor,WO,46.74,7,8
9192,4004,4004,10,Thu,Short Term Visitor,HO,1608.89,7,8
9824,4004,4004,10,Thu,Long Term Visitor,OO,1867.44,21,22
10421,4004,4004,10,Thu,Short Term Visitor,HW,183.64,15,16
10422,4004,4004,10,Thu,Short Term Visitor,HO,582.13,18,19
10423,4004,4004,10,Thu,Short Term Visitor,OH,1054.32,21,22
10611,4004,4004,10,Thu,Outbound Commuter,OW,16.8,8,9
10612,4004,4004,10,Thu,Outbound Commuter,WO,36.12,13,14
10613,4004,4004,10,Thu,Outbound Commuter,OW,120.09,15,16
10614,4004,4004,10,Thu,Outbound Commuter,WO,149.31,16,17
10671,4004,4004,10,Thu,Short Term Visitor,OW,563.59,9,10
10723,4004,4004,10,Thu,Short Term Visitor,WH,507.91,14,15
10846,4004,4004,10,Thu,Long Term Visitor,OO,2709.8,7,8
10849,4004,4004,10,Thu,Long Term Visitor,OH,315.38,5,6
10850,4004,4004,10,Thu,Long Term Visitor,HH,64.89,14,15
10851,4004,4004,10,Thu,Long Term Visitor,HH,77.5,16,17
10852,4004,4004,10,Thu,Long Term Visitor,HH,132.8,18,19
10958,4004,4004,10,Thu,Short Term Visitor,WO,245.13,12,13
11179,4004,4004,10,Thu,Short Term Visitor,WO,788.58,13,14
11562,4004,4004,10,Thu,Inbound Commuter,OO,152.02,10,11
11644,4004,4004,10,Thu,Short Term Visitor,OH,877.61,13,14
12050,4004,4004,10,Thu,Long Term Visitor,OO,2242.37,20,21
12079,4004,4004,10,Thu,Short Term Visitor,OH,787.22,11,12
12375,4004,4004,10,Thu,Short Term Visitor,HO,1427.44,10,11
12380,4004,4004,10,Thu,Short Term Visitor,HW,360.24,9,10
12381,4004,4004,10,Thu,Short Term Visitor,WW,788.71,12,13
12382,4004,4004,10,Thu,Short Term Visitor,WH,533.49,18,19
12430,4004,4004,10,Thu,Short Term Visitor,OW,371.29,14,15
12461,4004,4004,10,Thu,Short Term Visitor,WW,429.34,17,18
12473,4004,4004,10,Thu,Inbound Commuter,HH,80.27,8,9
12538,4004,4004,10,Thu,Short Term Visitor,HW,362.52,10,11
12809,4004,4004,10,Thu,Outbound Commuter,WW,114.18,8,9
12810,4004,4004,10,Thu,Outbound Commuter,WO,113.48,14,15
12854,4004,4004,10,Thu,Short Term Visitor,OW,278.26,12,13
12855,4004,4004,10,Thu,Short Term Visitor,WO,570.76,18,19
12962,4004,4004,10,Thu,Short Term Visitor,HO,2297.43,8,9
13180,4004,4004,10,Thu,Short Term Visitor,OW,712.79,7,8
13673,4004,4004,10,Thu,Short Term Visitor,HO,1368.94,11,12
13674,4004,4004,10,Thu,Short Term Visitor,HO,1024.09,15,16
13780,4004,4004,10,Thu,Short Term Visitor,HO,919.6,13,14
13781,4004,4004,10,Thu,Short Term Visitor,OH,1392.07,17,18
13830,4004,4004,10,Thu,Short Term Visitor,OW,448.58,10,11
14133,4004,4004,10,Thu,Short Term Visitor,HO,316.51,19,20
14579,4004,4004,10,Thu,Short Term Visitor,WO,1074.98,16,17
14943,4004,4004,10,Thu,Inbound Commuter,HH,115.98,18,19
15198,4004,4004,10,Thu,Long Term Visitor,OO,647.14,6,7
15270,4004,4004,10,Thu,Short Term Visitor,OH,1173.41,20,21
15608,4004,4004,10,Thu,Short Term Visitor,WH,1059.49,17,18
16360,4004,4004,10,Thu,Short Term Visitor,OW,338.04,6,7
16542,4004,4004,10,Thu,Short Term Visitor,HO,1029.33,16,17
16596,4004,4004,10,Thu,Short Term Visitor,HO,201.02,4,5
16627,4004,4004,10,Thu,Short Term Visitor,HO,1477.93,9,10
16851,4004,4004,10,Thu,Short Term Visitor,WW,19.36,5,6
17373,4004,4004,10,Thu,Outbound Commuter,WW,166.87,11,12
17951,4004,4004,10,Thu,Outbound Commuter,WW,124.55,10,11
17952,4004,4004,10,Thu,Outbound Commuter,WW,103.8,13,14
17971,4004,4004,10,Thu,Outbound Commuter,OO,70.0,18,19
17972,4004,4004,10,Thu,Outbound Commuter,OO,74.84,21,22
18049,4004,4004,10,Thu,Short Term Visitor,HW,93.19,4,5
18050,4004,4004,10,Thu,Short Term Visitor,WH,37.74,5,6
18140,4004,4004,10,Thu,Short Term Visitor,OW,596.1,11,12
18245,4004,4004,10,Thu,Short Term Visitor,HO,953.51,17,18
18372,4004,4004,10,Thu,Short Term Visitor,HO,257.98,20,21
18708,4004,4004,10,Thu,Home Worker,OO,59.08,14,15
