Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
25,25,4000,4000,1,Tue,Short Term Visitor,HW,5154.76,10,11
26,26,4000,4000,1,Tue,Short Term Visitor,WH,6078.49,18,19
51,51,4000,4000,1,Tue,Long Term Visitor,OO,24735.17,10,11
52,52,4000,4000,1,Tue,Long Term Visitor,OO,19368.89,12,13
54,54,4000,4000,1,Tue,Short Term Visitor,OO,17883.35,14,15
74,74,4000,4000,1,Tue,Long Term Visitor,OO,15378.36,8,9
75,75,4000,4000,1,Tue,Short Term Visitor,OO,7504.09,6,7
76,76,4000,4000,1,Tue,Short Term Visitor,OW,2880.89,6,7
77,77,4000,4000,1,Tue,Short Term Visitor,WO,1832.57,9,10
78,78,4000,4000,1,Tue,Short Term Visitor,OO,17614.28,13,14
94,94,4000,4000,1,Tue,Short Term Visitor,WO,6504.53,15,16
111,111,4000,4000,1,Tue,Short Term Visitor,HH,16050.69,10,11
112,112,4000,4000,1,Tue,Short Term Visitor,HH,11989.29,13,14
113,113,4000,4000,1,Tue,Short Term Visitor,HH,14093.4,16,17
185,185,4000,4000,1,Tue,Long Term Visitor,OO,23359.35,9,10
213,213,4000,4000,1,Tue,Short Term Visitor,HW,5094.05,11,12
214,214,4000,4000,1,Tue,Short Term Visitor,WO,7357.7,16,17
215,215,4000,4000,1,Tue,Short Term Visitor,OH,11877.57,17,18
216,216,4000,4000,1,Tue,Short Term Visitor,HO,12171.96,8,9
217,217,4000,4000,1,Tue,Short Term Visitor,OO,13389.36,18,19
220,220,4000,4000,1,Tue,Short Term Visitor,HO,11706.01,9,10
221,221,4000,4000,1,Tue,Short Term Visitor,OH,11872.04,18,19
260,260,4000,4000,1,Tue,Long Term Visitor,OO,14784.55,18,19
271,271,4000,4000,1,Tue,Short Term Visitor,HH,14506.27,9,10
295,295,4000,4000,1,Tue,Short Term Visitor,HH,12551.44,6,7
303,303,4000,4000,1,Tue,Short Term Visitor,OO,17281.03,16,17
307,307,4000,4000,1,Tue,Short Term Visitor,HH,9877.63,19,20
308,308,4000,4000,1,Tue,Short Term Visitor,HH,15769.83,8,9
360,360,4000,4000,1,Tue,Short Term Visitor,HH,11997.65,18,19
361,361,4000,4000,1,Tue,Short Term Visitor,HH,6226.19,21,22
362,362,4000,4000,1,Tue,Short Term Visitor,HH,4948.54,22,23
364,364,4000,4000,1,Tue,Short Term Visitor,HW,13141.08,8,9
370,370,4000,4000,1,Tue,Long Term Visitor,OO,16785.16,13,14
371,371,4000,4000,1,Tue,Long Term Visitor,OO,10628.74,20,21
413,413,4000,4000,1,Tue,Outbound Commuter,WO,325.53,13,14
447,447,4000,4000,1,Tue,Short Term Visitor,HW,859.25,17,18
448,448,4000,4000,1,Tue,Short Term Visitor,WO,3898.12,18,19
449,449,4000,4000,1,Tue,Short Term Visitor,OH,11436.36,19,20
470,470,4000,4000,1,Tue,Long Term Visitor,OO,17864.4,16,17
471,471,4000,4000,1,Tue,Long Term Visitor,OO,12033.72,19,20
475,475,4000,4000,1,Tue,Short Term Visitor,HW,17957.23,6,7
476,476,4000,4000,1,Tue,Short Term Visitor,WH,7480.25,14,15
477,477,4000,4000,1,Tue,Long Term Visitor,OO,23080.92,11,12
507,507,4000,4000,1,Tue,Short Term Visitor,HH,13034.56,12,13
508,508,4000,4000,1,Tue,Short Term Visitor,HO,413.05,23,24
515,515,4000,4000,1,Tue,Short Term Visitor,OO,14355.26,9,10
555,555,4000,4000,1,Tue,Short Term Visitor,WH,13171.58,17,18
556,556,4000,4000,1,Tue,Long Term Visitor,OO,18389.81,14,15
573,573,4000,4000,1,Tue,Outbound Commuter,OW,318.58,10,11
574,574,4000,4000,1,Tue,Short Term Visitor,HH,13512.22,15,16
655,655,4000,4000,1,Tue,Short Term Visitor,HO,7750.19,14,15
656,656,4000,4000,1,Tue,Short Term Visitor,OH,12233.21,15,16
680,680,4000,4000,1,Tue,Short Term Visitor,HW,20428.79,7,8
685,685,4000,4000,1,Tue,Short Term Visitor,HH,17164.78,7,8
686,686,4000,4000,1,Tue,Short Term Visitor,HO,7260.88,16,17
687,687,4000,4000,1,Tue,Short Term Visitor,OH,12192.43,20,21
697,697,4000,4000,1,Tue,Resident Worker,HO,80.98,7,8
742,742,4000,4000,1,Tue,Long Term Visitor,OO,17188.6,15,16
780,780,4000,4000,1,Tue,Short Term Visitor,HO,5442.91,18,19
782,782,4000,4000,1,Tue,Long Term Visitor,OO,16619.86,17,18
849,849,4000,4000,1,Tue,Short Term Visitor,HH,13822.98,14,15
931,931,4000,4000,1,Tue,Short Term Visitor,OW,3454.95,7,8
933,933,4000,4000,1,Tue,Short Term Visitor,WW,2447.02,9,10
934,934,4000,4000,1,Tue,Short Term Visitor,WW,2644.01,16,17
935,935,4000,4000,1,Tue,Short Term Visitor,WH,3802.45,21,22
954,954,4000,4000,1,Tue,Short Term Visitor,WO,8029.51,17,18
955,955,4000,4000,1,Tue,Short Term Visitor,OH,8332.1,21,22
1017,1017,4000,4000,1,Tue,Short Term Visitor,HO,9207.27,12,13
1018,1018,4000,4000,1,Tue,Short Term Visitor,OH,10040.89,13,14
1019,1019,4000,4000,1,Tue,Short Term Visitor,OO,15238.23,17,18
1024,1024,4000,4000,1,Tue,Short Term Visitor,HW,9738.91,9,10
1098,1098,4000,4000,1,Tue,Outbound Commuter,OO,389.05,11,12
1099,1099,4000,4000,1,Tue,Outbound Commuter,OO,368.84,12,13
1105,1105,4000,4000,1,Tue,Short Term Visitor,WO,1818.07,10,11
1117,1117,4000,4000,1,Tue,Home Worker,OO,299.37,10,11
1118,1118,4000,4000,1,Tue,Home Worker,OO,310.36,11,12
