Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
2,4000,4000,2,Wed,Short Term Visitor,OO,315.07,0,1
20,4000,4000,2,Wed,Inbound Commuter,OH,38.62,3,4
27,4000,4000,2,Wed,Short Term Visitor,HH,1642.65,0,1
29,4000,4000,2,Wed,Short Term Visitor,OH,2124.77,0,1
31,4000,4000,2,Wed,Short Term Visitor,WH,1163.5,0,1
36,4000,4000,2,Wed,Inbound Commuter,OH,80.1,4,5
43,4000,4000,2,Wed,Short Term Visitor,WH,92.93,2,3
61,4000,4000,2,Wed,Short Term Visitor,OH,1114.25,1,2
64,4000,4000,2,Wed,Short Term Visitor,WH,162.84,4,5
151,4000,4000,2,Wed,Long Term Visitor,OO,950.44,0,1
203,4000,4000,2,Wed,Short Term Visitor,OH,315.63,3,4
248,4000,4000,2,Wed,Long Term Visitor,WH,82.68,0,1
335,4000,4000,2,Wed,Short Term Visitor,OH,157.53,4,5
357,4000,4000,2,Wed,Short Term Visitor,OH,415.87,2,3
374,4000,4000,2,Wed,Short Term Visitor,WH,374.33,1,2
534,4000,4000,2,Wed,Short Term Visitor,WO,67.56,0,1
702,4000,4000,2,Wed,Short Term Visitor,HO,186.47,0,1
967,4000,4000,2,Wed,Home Worker,HH,54.34,0,1
972,4000,4000,2,Wed,Inbound Commuter,OH,99.77,0,1
1054,4000,4000,2,Wed,Inbound Commuter,OH,142.17,1,2
1086,4000,4000,2,Wed,Inbound Commuter,HO,37.05,0,1
1172,4000,4000,2,Wed,Short Term Visitor,WH,99.18,3,4
1242,4000,4000,2,Wed,Short Term Visitor,HW,24.39,0,1
1450,4000,4000,2,Wed,Outbound Commuter,WH,47.99,0,1
1821,4000,4000,2,Wed,Short Term Visitor,OW,68.84,0,1
2072,4000,4000,2,Wed,Short Term Visitor,HW,9440.12,9,10
2073,4000,4000,2,Wed,Short Term Visitor,WH,12453.06,16,17
2074,4000,4000,2,Wed,Short Term Visitor,HW,744.16,19,20
2075,4000,4000,2,Wed,Short Term Visitor,WH,4547.26,20,21
2095,4000,4000,2,Wed,Long Term Visitor,OO,19073.05,13,14
2096,4000,4000,2,Wed,Short Term Visitor,OO,16532.51,10,11
2108,4000,4000,2,Wed,Short Term Visitor,OO,5463.86,6,7
2122,4000,4000,2,Wed,Short Term Visitor,OW,3999.68,8,9
2144,4000,4000,2,Wed,Short Term Visitor,HO,9191.26,11,12
2145,4000,4000,2,Wed,Short Term Visitor,OH,8994.48,12,13
2146,4000,4000,2,Wed,Short Term Visitor,HH,13015.38,15,16
2147,4000,4000,2,Wed,Short Term Visitor,HH,13759.18,17,18
2148,4000,4000,2,Wed,Short Term Visitor,HH,10311.65,19,20
2149,4000,4000,2,Wed,Short Term Visitor,HH,9913.08,20,21
2203,4000,4000,2,Wed,Long Term Visitor,OO,28762.14,10,11
2239,4000,4000,2,Wed,Short Term Visitor,WO,6689.3,16,17
2252,4000,4000,2,Wed,Short Term Visitor,HO,11128.45,6,7
2253,4000,4000,2,Wed,Short Term Visitor,WO,6288.21,15,16
2254,4000,4000,2,Wed,Short Term Visitor,OH,11063.38,15,16
2255,4000,4000,2,Wed,Short Term Visitor,HO,8706.19,17,18
2256,4000,4000,2,Wed,Short Term Visitor,OO,4881.28,21,22
2257,4000,4000,2,Wed,Short Term Visitor,OH,10496.08,21,22
2260,4000,4000,2,Wed,Short Term Visitor,HO,4625.86,5,6
