EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
4/1/2014,82,68,53,56,48,36,93,59,19,30.22,30.17,30.12,10,10,9,14,2,,0,0,,92
4/2/2014,84,70,57,59,55,47,93,64,28,30.22,30.18,30.14,10,10,10,16,4,,0,0,,144
4/3/2014,84,72,61,64,60,53,93,66,36,30.17,30.12,30.06,10,10,10,13,7,16,0,0,,172
4/4/2014,84,74,66,65,61,56,90,65,41,30.1,30.05,30.01,10,10,10,15,8,,0,1,,204
4/5/2014,84,73,64,65,62,56,94,73,39,30.09,30.04,29.98,10,10,8,14,4,18,0,3,,313
4/6/2014,87,78,68,66,62,55,90,62,36,30.06,30,29.95,10,10,10,15,6,,0,0,,187
4/7/2014,90,80,71,70,66,63,87,67,44,29.97,29.91,29.83,10,10,4,21,13,29,0.07,1,Rain,189
4/8/2014,79,71,64,73,67,55,93,85,73,29.88,29.78,29.73,10,8,1,30,13,38,0.78,7,Rain,237
4/9/2014,75,67,59,55,49,43,83,56,34,30.21,30.03,29.89,10,10,6,14,10,22,0.01,3,Rain,296
4/10/2014,79,68,59,55,52,46,83,62,38,30.31,30.26,30.2,10,10,10,16,4,,0,2,,87
4/11/2014,79,68,59,63,58,52,84,70,52,30.29,30.23,30.18,10,10,10,14,5,,0.06,3,Rain,93
4/12/2014,82,72,63,63,59,54,90,67,42,30.24,30.18,30.14,10,10,10,16,7,17,0,1,,70
4/13/2014,82,74,66,65,62,57,87,68,44,30.17,30.11,30.05,10,10,10,16,7,23,0.01,4,Rain,81
4/14/2014,88,78,68,68,63,52,90,63,31,30.06,29.96,29.89,10,10,10,15,8,17,0,2,,158
4/15/2014,87,78,69,73,67,61,93,80,53,29.97,29.87,29.79,10,8,0,23,8,31,1.88,5,Fog-Rain-Thunderstorm,220
4/16/2014,75,62,51,62,53,43,81,70,55,30.18,30.09,29.96,10,10,10,17,11,24,0,5,,11
4/17/2014,77,69,63,65,62,57,90,76,62,30.23,30.18,30.14,10,10,10,25,11,29,0,6,,49
4/18/2014,81,75,69,70,67,63,91,82,58,30.16,30.04,29.94,10,9,2,22,10,43,0.09,6,Rain-Thunderstorm,124
4/19/2014,79,70,64,67,62,54,96,75,50,30,29.93,29.89,10,10,10,18,9,25,0,6,,240
4/20/2014,70,66,61,61,58,55,93,81,61,30.12,30.04,29.97,10,9,2,14,9,22,0.02,8,Rain,343
4/21/2014,73,66,61,60,58,56,87,73,61,30.11,30.05,30,10,10,10,13,8,,0,6,,352
4/22/2014,81,70,60,60,58,55,86,66,47,30.01,29.94,29.86,10,10,10,14,5,,0,1,,295
4/23/2014,84,74,64,63,60,55,90,68,36,29.97,29.92,29.88,10,10,9,13,6,,0,1,,289
4/24/2014,88,76,66,67,64,59,90,69,40,30.04,29.98,29.94,10,9,5,15,6,,0,2,,212
4/25/2014,87,78,69,66,63,57,87,63,41,30.04,29.98,29.94,10,10,7,15,6,,0,0,,297
4/26/2014,88,78,69,68,64,58,90,69,38,30.05,30,29.97,10,10,10,13,6,,0,1,,321
4/27/2014,90,80,69,71,68,61,96,71,38,30.04,30,29.93,10,9,4,14,6,18,0,1,,154
4/28/2014,91,81,71,69,67,63,90,63,42,30,29.95,29.88,10,10,10,18,9,25,0,1,Thunderstorm,153
4/29/2014,91,80,70,72,70,67,93,79,46,30.05,29.96,29.88,10,9,2,17,9,22,0.7,4,Rain-Thunderstorm,155
4/30/2014,87,78,71,74,71,67,96,83,59,30.09,30.04,29.96,10,9,1,18,9,21,0.41,4,Rain-Thunderstorm,172
