TAZ_ID,Inbound,Outbound,Outbound Commuter,Resident Worker,Long Term Visitor,Short Term Visitor,Inbound Commuter,Home Worker
507,6420,6201,7,77,8,10,4,57
1110,588,524,0,5,6,1,0,0
27,8660,9123,13,106,24,7,8,50
365,1352,1873,0,15,2,5,0,10
150,5924,5766,4,67,20,3,0,36
319,1323,3014,0,13,0,0,0,12
880,12795,14201,5,117,33,9,2,68
138,859,816,0,3,0,0,0,7
79,11199,923,0,11,1,1,3,2
114,2567,2555,0,25,14,3,0,13
808,6175,5664,1,34,91,12,1,16
839,3832,4513,3,45,7,7,6,42
217,2703,2634,2,26,8,2,0,26
914,22767,21355,8,90,287,17,7,57
7,1392,1876,0,14,4,3,2,4
1119,4513,3874,1,33,6,1,3,21
16,707213,154,0,0,0,1,0,0
809,6889,5802,0,44,79,6,2,20
667,22548,23698,18,422,29,19,17,233
1208,3717,4273,0,56,10,2,3,18
828,1795,2227,1,20,3,0,0,7
1248,2302,2241,0,29,8,0,0,17
488,445793,1788,0,23,1,0,0,11
787,12403,12713,5,178,44,13,13,106
1199,2227,2302,1,39,0,1,4,13
1340,753,16815,0,8,0,0,0,4
888,31446,32007,17,376,54,8,5,245
73,6538,6126,0,79,6,0,1,39
433,3649,3763,2,35,4,0,1,34
67,20153,10852,5,131,9,14,12,74
818,3071,3290,2,25,7,2,8,11
379,1709,1585,0,25,2,0,0,11
923,7039,4834,0,27,66,9,0,8
931,17147,16706,4,128,202,10,11,53
718,5190,5463,0,86,14,4,3,32
856,4602,4794,0,63,10,1,0,33
1010,3668,3623,3,17,25,4,4,25
483,4732,5144,0,78,4,0,2,58
661,3648,3517,1,52,3,0,1,19
130,4196,4294,3,52,3,1,1,26
1130,4923,5234,0,43,5,0,0,32
518,2227,2372,0,22,9,2,5,14
1241,5305,5140,2,77,6,2,0,60
909,23870,20290,6,87,262,18,3,52
897,178622,161793,77,595,853,114,78,317
1035,3672,3508,0,40,9,7,7,22
725,7286,7845,12,123,14,8,8,54
705,654,690,0,12,0,0,0,6
1129,10879,10258,1,97,8,8,0,61
77,3816,4143,0,51,11,7,1,42
672,2988,2893,2,25,1,1,1,19
1250,1685,1777,1,38,1,0,0,12
989,1061,2071,0,17,4,0,0,13
655,9216,9504,6,155,14,3,0,82
95,6780,6879,1,70,2,2,3,36
1216,3662,3845,1,61,8,1,0,25
662,6354,6410,0,80,7,3,0,51
530,7456,503,0,9,0,0,1,0
721,3595,3854,2,64,11,4,3,17
899,19549,23716,10,65,248,34,15,42
907,773,917,0,4,12,0,0,5
879,11890,11799,0,105,10,1,0,81
439,5229,6405,5,85,16,8,5,19
998,5701,4884,1,63,13,1,0,57
1323,1923,17251,0,35,2,0,0,11
34,3175,3238,0,31,0,4,4,16
1223,11339,3671,2,32,17,3,1,29
336,1705,1594,1,23,0,0,0,10
503,5214,10599,5,60,6,6,18,16
1231,2526,2254,0,25,9,5,0,14
598,4772,143765,0,83,14,7,4,31
165,3464,3843,1,45,9,1,0,18
118,6379,5965,1,79,6,3,0,47
226,4457,1181508,2,28,8,13,1,16
1226,19375,18636,7,162,39,8,5,75
135,2188,2393,0,29,0,0,0,16
1327,583,1591,0,5,3,0,0,0
199,6310,6609,3,122,8,4,2,80
862,6444,7433,2,91,23,5,1,49
572,1905,1283053,0,20,0,0,1,6
315,3478,3987,1,34,14,4,8,14
803,3955,3653,0,16,71,1,2,16
434,1253,1135,0,9,3,1,0,0
794,5962,6324,0,81,5,5,0,56
1058,2151,2383,2,14,1,0,1,20
1330,3034,2934,1,20,1,2,0,14
796,15172,13181,9,155,106,8,7,99
529,461,987,0,2,5,1,0,4
334,3497,3299,0,34,1,0,0,39
1040,7897,7372,1,86,60,2,4,59
996,192,5698,0,0,1,0,0,0
3,13617,13857,15,122,43,39,26,56
62,1837,11594,1,17,7,0,2,15
736,1039,1212,0,22,3,0,0,7
392,267,595069,0,4,0,1,0,0
1338,2624,3091,2,24,2,0,1,20
104,737,12088,0,8,0,0,0,2
1326,1570,1942,0,28,3,0,0,19
754,3211,15527,0,38,6,0,0,19
403,1433,598,0,2,2,0,0,4
1038,8568,8023,3,110,49,3,13,28
776,425,732355,0,3,0,4,0,0
141,7253,7658,3,105,10,0,0,56
326,922,862,1,13,0,0,0,5
103,4361,4778,0,49,13,7,4,21
1328,1130,389,0,0,5,0,0,0
317,1581,1698,0,16,1,0,3,6
1132,11370,11020,1,105,16,5,0,59
208,13375,12687,6,204,16,5,1,123
599,4583,4794,0,75,4,4,6,31
1030,2686,2301,0,20,11,4,0,17
15,414,727550,0,4,0,0,0,1
1145,14109,13445,9,178,104,37,27,103
1113,1748,1771,0,12,1,0,0,13
431,850,2143,0,8,0,0,0,8
57,1066,1178778,0,11,2,0,0,1
1006,20999,21027,8,214,32,2,9,119
771,4715,5169,0,47,7,0,0,27
1235,15342,15466,6,212,23,7,0,113
504,3039,1651,0,13,2,0,0,12
155,2661,3232,1,36,9,4,2,11
564,2658,2700,0,29,0,0,0,5
1336,916,930,0,8,2,0,0,4
517,1268,1825,0,22,6,1,4,6
1000,1357,1465,0,16,3,0,0,14
228,1530,1806,1,13,4,4,2,5
583,100,1817,0,1,0,0,0,0
28,597,776203,0,6,1,0,0,1
1179,866,901,1,8,5,5,2,14
1276,1495,16358,0,5,14,2,0,1
223,717,836,0,6,0,0,0,3
611,6471,6612,4,79,10,2,2,60
212,1933,1952,0,23,8,1,0,10
30,7911,7954,5,96,14,6,9,73
872,9947,9457,0,151,23,7,1,73
1148,4950,4875,3,30,60,2,0,24
1027,3825,3609,6,52,19,3,0,17
537,553,512,0,6,1,0,1,0
948,20441,20867,4,196,129,9,16,74
1308,528,605,0,3,11,0,0,0
653,445,909,0,4,1,0,0,1
592,1530,1564,0,22,8,0,2,9
974,4905,5244,3,41,27,4,0,29
204,2169,2865,3,38,2,0,0,16
679,1827,1717,0,14,0,0,0,10
450,3730,3851,1,63,3,1,0,29
516,4623,4036,4,38,5,0,11,37
4002,464026,469716,94,44,250,378,91,38
945,7277,7729,0,67,35,0,0,43
442,2117,1924,3,23,5,0,0,11
1054,2127,2084,0,21,0,1,0,13
1277,1834,12469,3,3,15,27,0,0
689,3974,4248,0,47,6,6,8,22
758,6056,5925,1,59,9,0,0,44
1331,1608,2670,0,21,0,0,0,7
314,802557,729,0,6,0,0,1,3
1162,1362,16444,0,13,1,0,1,8
954,4879,4685,2,52,20,1,2,30
1281,10839,10462,4,31,92,92,0,20
1045,980,906,0,10,0,0,0,7
694,8482,4696,0,47,16,7,2,31
1229,4577,4083,0,39,3,0,0,21
790,6341,5865,3,73,4,3,1,37
991,697,984,0,16,5,0,0,5
523,412,1679417,1,2,1,1,0,1
1068,20398,6618,2,145,11,2,3,53
722,2870,3219,2,54,8,0,1,17
562,1212,1357,0,12,1,0,0,6
951,13352,13309,4,160,25,6,1,101
783,1414,1464,0,56,4,1,0,22
4,9782,728,0,14,0,1,1,0
708,675,16378,2,11,0,0,1,3
179,1745,1876,0,18,0,0,1,4
902,62029,60102,38,289,462,61,43,133
852,5004,5370,2,74,9,1,0,31
429,2166,79724,2,22,0,0,0,12
